的,dyiex,5/|.的..
頃,qeringv,3-~.顷..頃
仉,zwuhangv,3/|..仉.
氕,pyeie,1/-..氕.
矔,guvuans,4|~...矔
緒,xvvus,4~~.续绪..續緒
脅,xryiez,2~/..勰.脅
臒,qwvuz,2/~..劬朐鸲.臒胊臞
苿,weieis,4-|.蔚.軎.苿藯
菢,bouaos,4-|.报抱..菢
蔂,leieiz,2-|.擂.檑.蔂
藞,louav,3-|...藞
袩,zhrhez,2\~..谪.袩
貞,ziehen,1|-.贞..貞
賣,mouais,4-|.卖..麥賣邁
跍,kuvu,1|~.哭.骷.跍
跓,zuvhus,4|~.助贮蛀..貯跓
蹤,zuvong,1|~.踪..蹤踨
軍,jhvun,1\~.军.皲.軍袀
邿,seihi,1-|..蓍.邿葹
鄰,lhyinz,2\/..粼遴.鄰粦
醿,meiiz,2-|.醚.蘼.醿蒾醾
鈨,ywhuanz,2/\..爰.鈨鶢
鋼,gwhang,1/\...鋼釭
駵,leiiuz,2-|.榴..駵藰驑
駸,qeiin,1-|...駸菳
鰪,eyrz,2/~...鰪
鱾,jyriv,3/~...鱾
賨,chhongz,2\\..淙.賨
艞,ywwaos,4//...艞
鹟,wyheng,1/\.翁..鹟鶲
钁,jwhuez,2/\.爵..钁
鞓,teiing,1-|...聽鞓聴
鰉,hwvuangz,2/~.凰.鳇.鰉
監,jeiian,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
穊,jyeis,4/-.季.稷.穊穄
蕡,feieis,4-|..芾.蕡髴
鑨,lwhongz,2/\...鑨
楱,couous,4-|..楱.輳
靹,nouas,4-|..捺.靹
鷃,yuvans,4|~.咽唁.晏.鷃艶
鼱,jyiing,1/|...鼱
眫,puvans,4|~.盼畔..眫
艆,lwwangz,2//...艆
褯,jhries,4\~.诫..褯衸
剞,jeyi,1-/..矶剞.磯
蔟,couus,4-|.醋.蔟.
靿,youaos,4-|.要药..藥靿葯
飭,cyhhis,4/\...飭
瘼,mhoos,4\-..瘼.
酴,touuz,2-|..荼菟酴.
鼢,fyienz,2/|..鼢.
睆,huvuanv,3|~...睆
硁,keyeng,1-/...硁
秬,jwous,4/-..钜犋.秬簴
穪,byeiez,2/-...穪
筦,gwouanv,3/-.管..筦
粡,thwongz,2\/...粡
粣,chyes,4\/...粣
綖,yvvanz,2~~...綖
裏,lheiv,3\-...裏
刭,jrhingv,3~\.颈.刭.
跼,quvuz,2|~..蠼氍.跼蠷
蒇,couhanv,3-|..蒇.
挢,jeiiaov,3-|.搅.挢.
邆,trhengz,2~\...邆
彡,swwan,1//..彡.
猃,xyrianv,3/~..猃.
闉,yirin,1|~.因.喑.闉
阓,hhuuis,4\|...阓
阛,hhuuanz,2\|...阛
靺,wouas,4-|...靺韈
鞨,heiez,2-|.核荷菏.盍翮.鞨麧覈
铥,dyeiu,1/-.丢.铥.
瘅,dhoan,1\-..瘅.
駰,yeiin,1-|.茵.堙.駰蒑
騻,souhuang,1-|...騻驦
箅,byeis,4/-..铋篦筚箅.篳
箢,ywouan,1/-..箢.
觖,jwvuez,2/~..獗觖.觼
麆,zhohus,4\-..疰.麆竚註
齮,yieiv,3|-...齮
糀,hhwua,1\/...糀
虯,qiriuz,2|~.囚.虬蝤赇.虯蛷
瘊,hhoouz,2\-..瘊.
絛,twuao,1/|...絛
聴,teiing,1-|...聽鞓聴
蘭,louanz,2-|.蓝拦栏婪..蘭葻藍
讬,thvuo,1\~...讬袥
揲,deiiez,2-|..堞耋垤揲.耊镻
镮,hwouanz,2/-..锾.镮
钷,pwoov,3/-..笸钷.
睪,yiris,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
砲,powaos,4-/...砲礮
稅,swohuis,4/-.税..稅
翫,wvhans,4~\...翫
荅,douaz,2-|..鞑靼.達荅荙
菉,louus,4-|.麓..蕗菉騼騄醁
袚,bhvo,1\~...袚
褋,dhriez,2\~.谍..褋
贠,yvhuanz,2~\...贠
跡,jiris,4|~..觊跽哜.罽蹟跡
踦,jiri,1|~.畸.叽羁唧跻咭.踦羇羈
遯,dwvuns,4/~...遯
鉅,jwhus,4/\...鐻鉅鋸
鎌,lyhianz,2/\...鐮鎌
靉,aohis,4-\...靉
韲,jhei,1\-..齑.韲齏
餖,dwhous,4/\...餖
鶺,jheiz,2\-.疾脊.瘠.鹡鶺
麕,jhoun,1\-..麇.麕麏
瞼,jirianv,3|~..睑趼囝.瞼
菵,wouangv,3-|.枉..菵
蟭,jiriao,1|~..蛟跤.蟭骹
錏,ywha,1/\...錏
踐,jirians,4|~.见践贱.踺.見踐瞷
輾,neiianv,3-|.捻撵..輾
銷,xyhiao,1/\...銷鴵
閣,girez,2|~.蛤.骼嗝.閣
頁,yeyes,4-/.页.靥.頁
驟,zouhous,4-|..酎荮.驟
碼,mowav,3-/.码..碼
禎,zhrhen,1\~..祯.禛禎
禦,ywwus,4//.御..禦衘
稖,bwoangs,4/-.镑..稖
稟,bheingv,3\-..禀.稟
竇,dhhous,4\\..窦.竇
笇,swouans,4/-.算..笇筭
篂,xyeing,1/-...篂
緛,rvvuanv,3~~...緛
編,brrian,1~~.编..編
縿,xrrian,1~~.纤..纖縿
舊,jeiius,4-|.救.柩桕.舊
蓴,touuanz,2-|..抟.蓴
蕚,eeis,4-|.恶扼.噩萼垩苊.蕚軛蘁
蘆,louuz,2-|.芦.栌垆.蘆
蝿,yiringz,2|~.蝇..蝿蠅
袃,covhais,4-~..虿.袃
親,qhein,1\-.亲..親
訴,shous,4\-...訴
讕,lhoanz,2\-..斓.讕
讚,zhoans,4\-...讚
財,cuvaiz,2|~.财..財
贏,yheingz,2\-.赢.嬴.贏
軅,ywuans,4/|...軅
軓,fouans,4-|.范.梵.軓
釙,pwho,1/\...釙
鉄,zyhhiz,2/\...鉄
錆,qyhiang,1/\..戗.鎗錆鏘鸧
閶,cuvhang,1|~.昌..閶
鯕,qyriz,2/~.脐.鳍.臍鯕鲯
鶕,ahon,1\-..庵.鶕
麨,couhaov,3-|...麨
脭,cyrhengz,2/~..塍.脭
鲯,qyriz,2/~.脐.鳍.臍鯕鲯
鐏,zwhun,1/\...鐏
魾,pyri,1/~...鲏魾鮍
眎,sirhis,4|~.是嗜噬..眎
睞,luvais,4|~..睐.睞
窋,khhu,1\\.窟..窋
籠,lwoongz,2/-.笼..籠篭
綠,lvvyus,4~~.绿..綠繂
縡,zvvais,4~~...縡
縫,frrengz,2~~.缝..縫
肅,svous,4~-.肃..肅鷫粛
鉏,cwhhuz,2/\...鉏鋤
謦,qeiingv,3-|..謦苘.
麹,qoou,1--...麹
蔔,bouox,5-|...蔔
繐,svvuis,4~~...繸繐
眥,zieis,4|-...眥胔
粺,bhwais,4\/...粺
缊,wrren,1~~...缊縕緼
艈,uwwux,5//...艈
蓇,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
蛣,jiriez,2|~.睫..蛣蜐
蹾,duvun,1|~.吨蹲..蹾
掎,jeiiv,3-|.挤.戟掎.
哜,jiris,4|~..觊跽哜.罽蹟跡
鄦,xwouv,3/-...鄦
陞,sriheng,1~|...陞
韰,xieies,4|-...韰齛
飖,ywhaoz,2/\.遥.肴爻繇.飖餆餚颻
镲,cwohav,3/-..镲.
麃,bheiao,1\-...麃
禑,whvuz,2\~...禑祦
筰,zwouoz,2/-...稓筰
聠,peiingz,2-|.萍苹坪.枰.聠蓱
茷,peieis,4-|.配..茷
螀,jheiang,1\-.将浆..螀
袞,ghounv,3\-..衮.袞
褧,jeiiongv,3-|...褧蘔
賮,jreins,4~-.尽..盡賮
赗,firengs,4|~...赗
踡,juvuanv,3|~...踡
揞,aounv,3-|..埯揞.
遝,tuvas,4|~.踏蹋.沓.遝闒
酂,zwoans,4/-.赞..酂酇贊
酇,zwoans,4/-.赞..酂酇贊
醜,couhouv,3-|...醜
檑,leieiz,2-|.擂.檑.蔂
雮,mohus,4-\...雮霂
氍,quvuz,2|~..蠼氍.跼蠷
腙,zwvong,1/~..腙.鯮
飩,twhunz,2/\...飩
痖,yhoav,3\-..痖.
髣,fouangv,3-|...髣
髳,mouaoz,2-|.茅.髦茆.髳鶜
酎,zouhous,4-|..酎荮.驟
鲒,jyriez,2/~..桀鲒.
鲪,jwvun,1/~...鲪
鹯,zhohan,1\-..旃.鹯邅譫鸇詀
麜,lheis,4\-.立痢.疠疬.麜讈
齸,yieis,4|-...齸
齻,dieian,1|-...齻
粩,lhwao,1\/...粩
詣,yheis,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
隄,drii,1~|...隄
簰,pwoaiz,2/-...簰
蒾,meiiz,2-|.醚.蘼.醿蒾醾
蓏,louuov,3-|...蓏
薳,weieiv,3-|.苇..薳葦趡蔿
藛,xeiiev,3-|...藛
蚢,huvangz,2|~.吭..蚢
蓠,leiiz,2-|..藜鹂蓠.醨菞
蓰,xeiiv,3-|.喜.葸蓰.
遡,shwus,4\/.塑..遡
郋,xyiiz,2/|...郋
鄜,fhou,1\-...鄜
錞,dwhuis,4/\...鐓錞鋭
靣,meyians,4-/.面..靣
鸂,xhhi,1\\.惜溪汐.淅浠穸.窸鸂
麐,lheinz,2\-..麟.麐
麚,jheia,1\-..痂.麚
齧,neeies,4--...齧
睊,juvuans,4|~...睊睠罥
砢,lowuov,3-/...砢
碻,qeyiao,1-/..硗.碻
絃,xvvuans,4~~.绚..絃縼
茝,zeihiv,3-|.指址.酯芷枳.茝藢
菴,youanv,3-|.掩.郾.菴酀鶠
袥,thvuo,1\~...讬袥
襍,zhvaz,2\~...襍
覗,sreis,4~-.巳..覗
詩,shehi,1\-.施..詩
諥,zhohongs,4\-...諥
跂,qiriz,2|~.崎畦.岐蛴蜞.跂蚑螧
辵,cwwhuos,4//...辵
邅,zhohan,1\-..旃.鹯邅譫鸇詀
醨,leiiz,2-|..藜鹂蓠.醨菞
頍,kouuiv,3-|...頍
疰,zhohus,4\-..疰.麆竚註
觜,ziei,1|-..龇赀訾觜.貲齜
鴿,gyhe,1/\.鸽..鴿
笭,lyeingz,2/-.铃..笭秢
糷,lhwans,4\/.烂..糷
纘,zvvuanv,3~~..缵.纘纉
翉,beienv,3-|.本苯..翉
胵,zyrhis,4/~.炙.觯.胵
芖,zeihis,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
蔣,jeiiangv,3-|.蒋..蔣
蔦,neiiaov,3-|..茑.蔦
蛚,liries,4|~..躐.蛚睙
蛯,luvaov,3|~...蛯
蜏,yuvouv,3|~..黝.蜏
讞,yhoans,4\-.彦..讞讌諺
賲,bwuaov,3/|.保堡..賲
钃,zwhhuz,2/\...钃
餈,cheiz,2\-.瓷..詞餈
馧,wwoos,4/-...馧
麤,chou,1\-...麤
鼶,syii,1/|...鼶
禱,dhvaov,3\~.祷..禱
臓,zwvangs,4/~...臟臓
鈍,dwhuns,4/\...鈍
錫,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
紛,frren,1~~.纷..紛
遙,ywvaoz,2/~..鳐.遙
螣,tyres,4/~...螣脦
铽,tyees,4/-.特.铽.
竝,bheings,4\-.病..竝
粊,beriv,3-~.比..粊
紗,svvha,1~~.纱..紗繺
紮,zoua,1-|.匝.拶.紮
絺,zrrhiv,3~~.纸..紙絺
絿,qrriuz,2~~...絿
緯,wrreiv,3~~.纬..緯
脦,tyres,4/~...螣脦
臇,jwvuanv,3/~...臇
臋,tvounz,2~-.臀..臋
葍,fouuz,2-|.扶拂.芙苻茯菔莩桴.葍輻
葞,meiiv,3-|...葞
葯,youaos,4-|.要药..藥靿葯
葻,louanz,2-|.蓝拦栏婪..蘭葻藍
藙,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蜔,dirians,4|~.电..蜔
螕,biri,1|~...螕
蟻,yiriv,3|~.蚁..螘顗蟻
襲,xheiz,2\-.席..襲
觼,jwvuez,2/~..獗觖.觼
觿,wyreiz,2/~...鮠觿觽
詼,hhoui,1\-..麾.詼
諝,xhou,1\-...諝譃
貨,hwuuos,4/|.货..貨
賀,hryes,4~/.贺..賀
趧,teiiz,2-|.提.醍荑.趧騠蕛
跉,liringz,2|~..蛉呤囹.跉
躍,yuvues,4|~.跃..閱躍躒
軒,xouuan,1-|..萱揎.蕿軒
輪,louunz,2-|...輪菕
邉,byiian,1/|...邊邉
鄶,kwhuais,4/\..郐.鄶
酁,cwvhanz,2/~.馋..酁
釀,neiiangs,4-|.酿..釀
鈾,ywhouz,2/\...鈾
鈿,dyhians,4/\...鈿
鍊,lyhians,4/\...鍊鏈
闀,huvongs,4|~...闀閧
闄,yuvaov,3|~.咬.崾.闄
腽,wwvas,4/~..腽.
霧,wohus,4-\.雾..霚霧
韌,rriens,4~|...韌
頎,kyyenv,3//...頎
額,ehhz,2\\.额..額
顫,chohans,4\-.颤..顫
顬,rohuz,2-\..颥.顬
髿,souuo,1-|.梭蓑.桫.髿
鴣,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
鶝,beiis,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
鷣,yeiinz,2-|..垠鄞.鷣
齋,zhohai,1\-.斋..齋
鋊,ywhus,4/\.欲愈.鹆.鋊鈺鐍錥
隤,tvuuiz,2~|...隤
艦,jyyians,4//.舰..艦
譟,zhoaos,4\-...譟
蒉,kouuis,4-|..匮聩蒉.聭聵
磜,qeyis,4-/.砌.碛.碶磜磩
綼,brris,4~~...綼縪
輋,sirhe,1|~.赊..輋
頨,yvhuv,3~\.予羽..頨
閗,duvous,4|~...閗
鮍,pyri,1/~...鲏魾鮍
鯡,fyrei,1/~..鲱.鯡
鲹,syrhen,1/~...鲹鯵鯓
禣,fhvus,4\~.讣..褔袝祔禣
粏,thwais,4\/...粏
綿,mrrianz,2~~.绵..綿
臐,xwvun,1/~..獯.臐
迏,dowaz,2-/.达..迏
鋾,twhaoz,2/\.逃.鼗.鋾
鐇,fwhanz,2/\...鐇鷭
铻,wwouz,2/-...铻
鮼,qyrin,1/~...鮼
鼈,bhyie,1\/.憋鳖..鼈鱉
込,rwhus,4/\.入..鳰込
篰,bwous,4/-.簿.钚.篰
痄,zhohas,4\-..痄.詐
睄,qiriaoz,2|~.瞧..睄
磡,kowans,4-/...磡
窔,yhhaos,4\\...窔
筊,jyeiaov,3/-.矫铰..矯筊
羺,nhwouz,2\/...羺
腪,ywvuns,4/~...腪
臢,zwva,1/~...臜臢
荄,gouai,1-|..垓.荄
蓡,seihen,1-|..莘.蓡蔘葠
蝀,duvong,1|~..咚岽.蝀
詥,gheez,2\-...詥
豀,xyhi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
苠,meiinz,2-|..苠.
郞,lhvangz,2\~.郎..郞
骒,krres,4~~..缂骒.
戤,gvwais,4~/..戤.
铞,dyeiaos,4/-.钓.铫铞.
耢,looaos,4--..耢.耮
麯,qouu,1-|.趋.麴.趨驅麯
秱,twoongz,2/-.铜..秱穜
筼,ywounz,2/-...筼
綈,trriz,2~~..缇绨.綈緹
翬,hvhui,1~\...翬翚
脧,jwvuan,1/~...脧
茣,wouuz,2-|.吾芜梧..鹀茣莁
菒,gouaov,3-|.搞.槁藁.菒藳
蓯,zouongv,3-|...蓯蓗
蕝,jouuez,2-|.掘抉攫.蕨橛桷.蕝芵
詝,zhohuv,3\-.主.麈.詝
謱,lhoouz,2\-...謱
冁,chwhanv,3\/..冁.
踧,diriz,2|~.迪..踧
茚,yeiins,4-|.荫.茚.酳
辌,leriangz,2-~...辌
辒,weren,1-~...辒
郪,qeri,1-~.七妻..郪鶈
鄘,yhoong,1\-.庸雍痈.饔壅.鄘
鄠,hohus,4-\...鄠
帱,cuvhouz,2|~.畴踌.帱.
鈇,fwhu,1/\...鈇
缲,qrriao,1~~..缲.
雚,gouuans,4-|..鹳掼.雚
雟,gvuui,1~|...雟
韺,yheing,1\-.应鹰.膺.韺鷹
頵,yvoun,1~-...頵
顝,kuvuav,3|~...顝
镘,mwoans,4/-..镘.
鬋,jeiianv,3-|.检捡拣柬茧.戬枧.鬋醎
酾,souhai,1-|..酾.
鳣,zwvhan,1/~.詹..鳣
鴦,yuvang,1|~.央鸯..鴦眏
麀,yhoou,1\-...麀
麉,jeeian,1--..戋.麉
麊,mhyiz,2\/.迷..麊
麣,yhoanz,2\-.言颜..顏麣訮
藬,touui,1-|.推..藬蓷
鏘,qyhiang,1/\..戗.鎗錆鏘鸧
鞚,kouongs,4-|.控..鞚
飔,syri,1/~...飔
鴃,gwuui,1/|.傀.皈.龜鴃
齏,jhei,1\-..齑.韲齏
礄,qeyiaoz,2-/...硚礄
誥,ghoaos,4\-...誥
醲,nouongz,2-|...醲
毳,cwouis,4/-..毳.
築,zwohus,4/-.筑铸.箸.築
絫,lrheiv,3~\.垒..絫
脺,cwvuis,4/~.脆..膬臎膵脺
苧,zouhus,4-|.著柱.杼苎翥.苧駐
蚘,yuvouz,2|~.由邮.蝣蚰.蚘
蝺,yuvuv,3|~.屿.圄圉.蝺
蠶,covanz,2-~...蠶
裀,yhrin,1\~...禋裀
詧,qyries,4/~...詧
貍,mwhaiz,2/\...貍
踘,juvu,1|~..雎.踘跔罝
蹷,jowuez,2-/..厥劂.蹷蟨
蟓,xiriangs,4|~..蟓.
盦,awhn,1/\...盦盫韽
瞆,guvuis,4|~.贵跪.炅刿.貴瞆趹
矰,zyeeng,1/-...矰
磥,leyeiz,2-/...磥
祮,ghvaos,4\~..诰.祮禞祰
稛,kwounv,3/-...稛稇
箾,xyeiao,1/-.销.箫.箾簫簘
翂,frhen,1~\...翂
胊,qwvuz,2/~..劬朐鸲.臒胊臞
蓺,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
薾,eeirv,3-|.耳..薾趰
襱,lhvongz,2\~...襱
覅,feiiaox,5-|...覅
讏,wyyeis,4//...衛讏躛
跅,tuvuos,4|~.唾..跅
踆,quvun,1|~...踆
蹔,zouans,4-|...蹔
軐,xeiians,4-|.献.苋.軐
轪,dovais,4-~...轪
鄤,wuvans,4|~...鄤
醰,touanz,2-|.坛檀.覃.醰藫蕁
鑟,dwhuz,2/\...鑟
铔,ywoa,1/-...铔
閛,pireng,1|~..嘭.閛
陙,cvuhunz,2~|...陙
霳,lohongz,2-\...霳
顑,yowans,4-/.厌雁砚.赝餍.顑饜贋
镤,pwouz,2/-..镤.穙
鵲,qouues,4-|.却鹊榷.悫.鵲
竚,zhohus,4\-..疰.麆竚註
紩,zrrhis,4~~..彘.紩緻
聦,couong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
餅,byhingv,3/\...餅鈵鉼
鶄,qeeing,1--.青..鶄
競,jheings,4\-.竟竞净靖痉..競竸
簷,ywoanz,2/-..筵.簷
糵,neiies,4-|.聂孽.颞蘖.菍糵顳苶聶
紖,zrrhens,4~~...絼紖
訪,fhoangv,3\-...訪
豎,souhus,4-|.术述树束..豎蒁鶐
趦,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
隸,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
禠,shri,1\~...禠禗
籓,bwoan,1/-...籓
镥,lwouv,3/-..镥.
盜,dhhaos,4\\.悼..盜
矝,qrhinz,2~\...矝
笖,yyeiv,3/-..钇.锜笖
笧,swohans,4/-...笧
簢,myeinv,3/-.敏.鳘.簢鰵
簻,kyee,1/-.科.稞钶.簻
籌,cwohouz,2/-.筹愁稠..籌
粍,zhyhez,2\/...粍
綍,fvvuz,2~~..绂绋.綍
縕,wrren,1~~...缊縕緼
罋,wheengs,4\-...罋
罷,buvas,4|~.罢..罷跁
翜,svhhas,4~\...翜翣
膰,pwvanz,2/~...膰
膲,jyriao,1/~.胶.鲛.膠膲
菂,deiis,4-|.地蒂.棣.菂
葦,weieiv,3-|.苇..薳葦趡蔿
薢,xeiies,4-|.械.榭榍薤.薢
藷,zouhu,1-|.株.茱槠.藷
螞,muvav,3|~...螞
蠻,mhoanz,2\-.蛮..蠻
袀,jhvun,1\~.军.皲.軍袀
袐,bhris,4\~.必.裨.祕禆邲诐袐鴓
覍,biyians,4|/...覍
訌,hhoongs,4\-...訌
訛,ehez,2\-...訛譌
詿,ghouas,4\-...詿
諄,zhohun,1\-...諄
譜,phouv,3\-...譜
豈,qiriv,3|~.岂.屺.豈
賢,xeiianz,2-|...賢
賹,auvis,4|~.唉.暧嗌.賹
遷,qeiian,1-|.扦.芊.遷藖韆
釛,bwhaz,2/\...釛
鈣,gwhais,4/\...鈣
鈱,myhinz,2/\...鈱
鈶,cyhiz,2/\...鈶辭
鍛,dwhuans,4/\...鍛
鍦,syhhi,1/\...鍦
鐵,tyhiev,3/\...鐵
閯,suvhas,4|~..唼.閯
閺,wirenz,2|~.蚊..聞闅閺閿
閻,yuvanz,2|~.岩蜒..閻
隂,yriins,4~|...隂
頌,swhongs,4/\.颂..頌
頰,jeyiaz,2-/..戛.頰郟
顆,kire,1|~.颗.瞌蝌嗑髁.顆趷
顪,huouis,4|-...顪
飼,syhis,4/\...飼
駕,jryias,4~/.架驾嫁..駕
駝,touuoz,2-|..橐坨酡柁.駝駞
驌,souus,4-|.速粟.蔌.驌藗
驘,lhouoz,2\-...驘鸁
鰠,swvao,1/~..臊鳋.鰠
鰹,jyrian,1/~..鲣.鰜鰹鳒
鲗,zyreiz,2/~...鲗
鶒,ceihis,4-|.赤翅.敕踅.趩鶒鷘
鶗,tiriz,2|~.题蹄啼..題鶗
鷥,srri,1~~.丝.鸶缌.絲鷥緦
鷹,yheing,1\-.应鹰.膺.韺鷹
齊,qheiz,2\-.齐旗.麒.齊麡竒
硙,weyeis,4-/...硙磑
禜,yhwongv,3\/...禜
糢,mhwoz,2\/...糢
藠,jeiiaos,4-|.酵.醮.較轎藠
镦,dwouis,4/-..镦.
蕂,seihengs,4-|...聖蕂
霮,dohans,4-\...霮
沩,whheiz,2\\.惟潍.涠沩.
颼,swvou,1/~..飕馊.颼
禬,ghvuis,4\~...禬襘
鴪,yhhus,4\\.誉寓浴..鴪鴧
鮨,yyris,4/~.逸臆肄..鮨
鱣,swvhans,4/~.膳.鳝.鱣
盝,lvous,4~-.录.逯.盝
眹,zirhens,4|~..赈.眹
睖,lirengs,4|~...睖
磫,zowong,1-/...磫
禫,dhvans,4\~.诞..禫
繨,dvvaz,2~~...繨
薦,jeiians,4-|.荐槛.楗.薦鍳趝
褱,hhouaiz,2\-...褱
鏏,wyheis,4/\...鏏餵錗
鮁,bwvas,4/~..鲅.鲌鮊鮁
鹓,yhhuan,1\\.渊..鹓
繟,cvvhanz,2~~.缠..繟纒纏
繺,svvha,1~~.纱..紗繺
沲,dhhuos,4\\.惰.沲.
餦,zwhhang,1/\...餦鏱
篤,dwouv,3/-..笃.篤
踺,jirians,4|~.见践贱.踺.見踐瞷
祦,whvuz,2\~...禑祦
篲,hwouis,4/-.秽..篲穢
糰,thwuanz,2\/...糰
絙,grreng,1~~...絙縆
纄,prrengz,2~~...纄
脝,hyreng,1/~...脝
茊,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
菫,jeiinv,3-|..槿堇.緊菫蓳
蓞,uouux,5-|...蓞聣
酦,pouo,1-|.坡..酦醱
醾,meiiz,2-|.醚.蘼.醿蒾醾
锳,yyeing,1/-...锳
钶,kyee,1/-.科.稞钶.簻
鲼,fyrens,4/~..鲼.膹
齄,zwuha,1/|..齄.
鴨,yuva,1|~.鸭..鴨
鷧,yeiis,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
祋,dhvuis,4\~...祋
箯,byeian,1/-..笾.箯
粐,hhwus,4\/...粐
粦,lhyinz,2\/..粼遴.鄰粦
粭,hhyez,2\/...粭
紃,xvvunz,2~~.巡驯..紃
脰,dwvous,4/~...饾脰
芃,peiengz,2-|.彭蓬棚.堋.芃髼鬅
苽,gouu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
莿,ceiis,4-|.刺..莿
菆,zouou,1-|..鄹.菆
藗,souus,4-|.速粟.蔌.驌藗
藧,houuans,4-|.换.擐.藧
袵,rhrens,4\~.认.衽.袵讱
裯,dhvao,1\~...裯
褵,lhriz,2\~...褵
襆,phvuz,2\~...襆
詤,hhouangv,3\-...詤
譓,hhouis,4\-...譓詯諱
跊,mireis,4|~.昧..眊跊
軈,yyiing,1/|...軈
苘,qeiingv,3-|..謦苘.
迺,nouaiv,3-|..艿.迺
掭,teiians,4-|..掭.
邇,eeyrv,3-/...邇
邘,yoouz,2--.于盂.瑜.邘
鄳,mirengz,2|~.盟.虻.鄳矒
猸,myreiz,2/~..猸.
艴,fvouz,2~-.弗.艴.
鑕,zyhhis,4/\...鑕鋕
柃,leiingz,2-|.菱.聆苓棂柃.醽
闒,tuvas,4|~.踏蹋.沓.遝闒
毹,swhhu,1/\.舒.毹.鵨
脶,lwvuoz,2/~..猡脶.
颋,tyeingv,3/-...颋
鵀,ryienz,2/|.仁..鵀
鶜,mouaoz,2-|.茅.髦茆.髳鶜
鶟,thhuz,2\\.涂..鶟
鷱,gwuao,1/|.皋.睾.鷱臯
鷲,jheius,4\-.就疚.鹫.鷲
鹍,kuvun,1|~.昆..鹍蜫
麖,jheing,1\-.京.旌.麖
軎,weieis,4-|.蔚.軎.苿藯
稂,lwoangz,2/-..锒稂.
蒞,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
蠆,couhais,4-|...蠆
褲,khvus,4\~.裤..袴褲
佧,kwuav,3/|..佧.
紵,zvvhus,4~~.驻..纻紵
緌,rvvuiz,2~~...緌
蠾,zuvhuz,2|~..躅.蠋蠾鸀
裲,lhriangv,3\~...裲
郈,hwwous,4//.后.後逅.郈
鋐,hwhongz,2/\...鋐谼
餱,hwhouz,2/\...餱
瓞,dyyiez,2//..瓞.
驙,zouhan,1-|...驙薝
鯙,cwvhunz,2/~...鯙
眆,fuvangv,3|~...眆
睠,juvuans,4|~...睊睠罥
瞫,sirhenv,3|~..哂.瞫
矅,yuvaos,4|~..曜.矅
碃,qeyings,4-/...碃
禃,zhrhiz,2\~...禃
秔,jyeing,1/-...秔
穻,yhhu,1\\.淤..穻盓
箇,gyees,4/-.铬..箇
籐,tyeengz,2/-...籐
絏,yrris,4~~.绎.驿缢.絏
纕,xrriang,1~~.乡.骧缃.鄉纕緗
翐,zrhhis,4~\...翐
耈,gououv,3-|.苟..耈耇
耎,nowuos,4-/...耎
脷,lyris,4/~..猁.脷
膕,gwvuoz,2/~...腘膕
艐,kyyes,4//...艐
艷,yuoans,4|-...艷鬳
苙,leiis,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
葹,seihi,1-|..蓍.邿葹
蓂,meiis,4-|...蓂
蔲,kouous,4-|.扣.蔻.蔲鷇
薋,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
蛷,qiriuz,2|~.囚.虬蝤赇.虯蛷
蜑,dwuans,4/|.但..蜑
衂,nwuyus,4/|..衄.衂
衋,xreis,4~-...衋
袿,ghvui,1\~...袿
訕,shohans,4\-..疝.訕
訝,yhoas,4\-...訝
詠,yhoongv,3\-...詠
誳,jhoues,4\-...誳
諆,qhei,1\-.凄..諆
讱,rhrens,4\~.认.衽.袵讱
軃,twuuov,3/|...軃
轝,ywuus,4/|...鴥轝礜譽軉
郀,kowu,1-/..刳.矻郀
郵,ywoouz,2/-.铀..郵
鉐,syhhiz,2/\.食..鉐蝕鉽
鍧,hwhong,1/\...鍧
鍼,qyhianz,2/\...錢鍼
鏦,cwhong,1/\...鏦
镵,cwohanz,2/-...镵
閭,luvyuz,2|~...閭瞜
闢,piris,4|~...闢
陗,qriiaos,4~|...陗
陼,dvuuv,3~|...陼
韈,wouas,4-|...靺韈
骫,wireiv,3|~..韪.骫骩蜼
