的,dehhr,5/|.的..
葻,llanf,2-|.蓝拦栏婪..蘭葻藍
藙,yihf,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蜔,diahnm,4|~.电..蜔
螕,bim,1|~...螕
蟻,yiim,3|~.蚁..螘顗蟻
襲,xxiy,2\-.席..襲
觼,jjueq,2/~..獗觖.觼
觿,wweiq,2/~...鮠觿觽
詼,huiy,1\-..麾.詼
諝,xuy,1\-...諝譃
貨,huohr,4/|.货..貨
賀,hehv,4~/.贺..賀
趧,ttif,2-|.提.醍荑.趧騠蕛
跉,llingm,2|~..蛉呤囹.跉
躍,yuehm,4|~.跃..閱躍躒
軒,xuanf,1-|..萱揎.蕿軒
輪,llunf,2-|...輪菕
邉,bianr,1/|...邊邉
鄶,kuaihw,4/\..郐.鄶
酁,cchanq,2/~.馋..酁
釀,niahngf,4-|.酿..釀
鈾,yyouw,2/\...鈾
鈿,diahnw,4/\...鈿
鍊,liahnw,4/\...鍊鏈
闀,hohngm,4|~...闀閧
闄,yaaom,3|~.咬.崾.闄
腽,wahq,4/~..腽.
霧,wuhs,4-\.雾..霚霧
韌,rehnb,4~|...韌
頎,keene,3//...頎
額,vveo,2\\.额..額
顫,chahny,4\-.颤..顫
顬,rrus,2-\..颥.顬
髿,suof,1-|.梭蓑.桫.髿
鴣,guf,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
鶝,bihf,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
鷣,yyinf,2-|..垠鄞.鷣
齋,zhaiy,1\-.斋..齋
鋊,yuhw,4/\.欲愈.鹆.鋊鈺鐍錥
隤,ttuib,2~|...隤
艦,jiahne,4//.舰..艦
譟,zaohy,4\-...譟
蒉,kuihf,4-|..匮聩蒉.聭聵
磜,qihd,4-/.砌.碛.碶磜磩
綼,bihx,4~~...綼縪
輋,shem,1|~.赊..輋
頨,yuuc,3~\.予羽..頨
閗,douhm,4|~...閗
鮍,piq,1/~...鲏魾鮍
鯡,feiq,1/~..鲱.鯡
鲹,shenq,1/~...鲹鯵鯓
禣,fuhp,4\~.讣..褔袝祔禣
粏,taihi,4\/...粏
綿,mmianx,2~~.绵..綿
臐,xunq,1/~..獯.臐
迏,ddad,2-/.达..迏
鋾,ttaow,2/\.逃.鼗.鋾
鐇,ffanw,2/\...鐇鷭
铻,wwut,2/-...铻
鮼,qinq,1/~...鮼
鼈,biei,1\/.憋鳖..鼈鱉
込,ruhw,4/\.入..鳰込
篰,buht,4/-.簿.钚.篰
痄,zhahy,4\-..痄.詐
睄,qqiaom,2|~.瞧..睄
磡,kahnd,4-/...磡
窔,yaoho,4\\...窔
筊,jiaaot,3/-.矫铰..矯筊
羺,nnoui,2\/...羺
腪,yuhnq,4/~...腪
臢,zaq,1/~...臜臢
荄,gaif,1-|..垓.荄
蓡,shenf,1-|..莘.蓡蔘葠
蝀,dongm,1|~..咚岽.蝀
詥,ggey,2\-...詥
豀,xiw,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
苠,mminf,2-|..苠.
郞,llangp,2\~.郎..郞
骒,kehx,4~~..缂骒.
戤,gaihv,4~/..戤.
铞,diaoht,4/-.钓.铫铞.
耢,laohg,4--..耢.耮
麯,quf,1-|.趋.麴.趨驅麯
秱,ttongt,2/-.铜..秱穜
筼,yyunt,2/-...筼
綈,ttix,2~~..缇绨.綈緹
翬,huic,1~\...翬翚
脧,juanq,1/~...脧
茣,wwuf,2-|.吾芜梧..鹀茣莁
菒,gaaof,3-|.搞.槁藁.菒藳
蓯,zoongf,3-|...蓯蓗
蕝,jjuef,2-|.掘抉攫.蕨橛桷.蕝芵
詝,zhuuy,3\-.主.麈.詝
謱,llouy,2\-...謱
冁,chaani,3\/..冁.
踧,ddim,2|~.迪..踧
茚,yihnf,4-|.荫.茚.酳
辌,llianga,2-~...辌
辒,wena,1-~...辒
郪,qia,1-~.七妻..郪鶈
鄘,yongy,1\-.庸雍痈.饔壅.鄘
鄠,huhs,4-\...鄠
帱,cchoum,2|~.畴踌.帱.
鈇,fuw,1/\...鈇
缲,qiaox,1~~..缲.
雚,guahnf,4-|..鹳掼.雚
雟,guib,1~|...雟
韺,yingy,1\-.应鹰.膺.韺鷹
頵,yunn,1~-...頵
顝,kuaam,3|~...顝
镘,mahnt,4/-..镘.
鬋,jiaanf,3-|.检捡拣柬茧.戬枧.鬋醎
酾,shaif,1-|..酾.
鳣,zhanq,1/~.詹..鳣
鴦,yangm,1|~.央鸯..鴦眏
麀,youy,1\-...麀
麉,jiang,1--..戋.麉
麊,mmii,2\/.迷..麊
麣,yyany,2\-.言颜..顏麣訮
藬,tuif,1-|.推..藬蓷
鏘,qiangw,1/\..戗.鎗錆鏘鸧
鞚,kohngf,4-|.控..鞚
飔,siq,1/~...飔
鴃,guir,1/|.傀.皈.龜鴃
齏,jiy,1\-..齑.韲齏
礄,qqiaod,2-/...硚礄
誥,gaohy,4\-...誥
醲,nnongf,2-|...醲
毳,cuiht,4/-..毳.
築,zhuht,4/-.筑铸.箸.築
絫,leeic,3~\.垒..絫
脺,cuihq,4/~.脆..膬臎膵脺
苧,zhuhf,4-|.著柱.杼苎翥.苧駐
蚘,yyoum,2|~.由邮.蝣蚰.蚘
蝺,yuum,3|~.屿.圄圉.蝺
蠶,ccana,2-~...蠶
裀,yinp,1\~...禋裀
詧,qiehq,4/~...詧
貍,mmaiw,2/\...貍
踘,jum,1|~..雎.踘跔罝
蹷,jjued,2-/..厥劂.蹷蟨
蟓,xiahngm,4|~..蟓.
盦,anw,1/\...盦盫韽
瞆,guihm,4|~.贵跪.炅刿.貴瞆趹
矰,zengt,1/-...矰
磥,lleid,2-/...磥
祮,gaohp,4\~..诰.祮禞祰
稛,kuunt,3/-...稛稇
箾,xiaot,1/-.销.箫.箾簫簘
翂,fenc,1~\...翂
胊,qquq,2/~..劬朐鸲.臒胊臞
蓺,yihf,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
薾,eerf,3-|.耳..薾趰
襱,llongp,2\~...襱
覅,fiaohhf,5-|...覅
讏,weihe,4//...衛讏躛
跅,tuohm,4|~.唾..跅
踆,qunm,1|~...踆
蹔,zahnf,4-|...蹔
軐,xiahnf,4-|.献.苋.軐
轪,daiha,4-~...轪
鄤,wahnm,4|~...鄤
醰,ttanf,2-|.坛檀.覃.醰藫蕁
鑟,dduw,2/\...鑟
铔,yat,1/-...铔
閛,pengm,1|~..嘭.閛
陙,cchunb,2~|...陙
霳,llongs,2-\...霳
顑,yahnd,4-/.厌雁砚.赝餍.顑饜贋
镤,pput,2/-..镤.穙
鵲,quehf,4-|.却鹊榷.悫.鵲
竚,zhuhy,4\-..疰.麆竚註
紩,zhihx,4~~..彘.紩緻
聦,congf,1-|.聪葱.枞苁.茐聦聰蔥驄聡
餅,biingw,3/\...餅鈵鉼
鶄,qingg,1--.青..鶄
競,jihngy,4\-.竟竞净靖痉..競竸
簷,yyant,2/-..筵.簷
糵,niehf,4-|.聂孽.颞蘖.菍糵顳苶聶
紖,zhehnx,4~~...絼紖
訪,faangy,3\-...訪
豎,shuhf,4-|.术述树束..豎蒁鶐
趦,zif,1-|..髭趑.茲菑趦茊薋葘鄑
隸,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
禠,sip,1\~...禠禗
籓,bant,1/-...籓
镥,luut,3/-..镥.
盜,daoho,4\\.悼..盜
矝,qqinc,2~\...矝
笖,yiit,3/-..钇.锜笖
笧,shahnt,4/-...笧
簢,miint,3/-.敏.鳘.簢鰵
簻,ket,1/-.科.稞钶.簻
籌,cchout,2/-.筹愁稠..籌
粍,zzhei,2\/...粍
綍,ffux,2~~..绂绋.綍
縕,wenx,1~~...缊縕緼
罋,wehngy,4\-...罋
罷,bahm,4|~.罢..罷跁
翜,shahc,4~\...翜翣
膰,ppanq,2/~...膰
膲,jiaoq,1/~.胶.鲛.膠膲
菂,dihf,4-|.地蒂.棣.菂
葦,weeif,3-|.苇..薳葦趡蔿
薢,xiehf,4-|.械.榭榍薤.薢
藷,zhuf,1-|.株.茱槠.藷
螞,maam,3|~...螞
蠻,mmany,2\-.蛮..蠻
袀,junp,1\~.军.皲.軍袀
袐,bihp,4\~.必.裨.祕禆邲诐袐鴓
覍,biahnk,4|/...覍
訌,hohngy,4\-...訌
訛,vvey,2\-...訛譌
詿,guahy,4\-...詿
諄,zhuny,1\-...諄
譜,puuy,3\-...譜
豈,qiim,3|~.岂.屺.豈
賢,xxianf,2-|...賢
賹,aihm,4|~.唉.暧嗌.賹
遷,qianf,1-|.扦.芊.遷藖韆
釛,bbaw,2/\...釛
鈣,gaihw,4/\...鈣
鈱,mminw,2/\...鈱
鈶,cciw,2/\...鈶辭
鍛,duahnw,4/\...鍛
鍦,shiw,1/\...鍦
鐵,tieew,3/\...鐵
閯,shahm,4|~..唼.閯
閺,wwenm,2|~.蚊..聞闅閺閿
閻,yyanm,2|~.岩蜒..閻
隂,yihnb,4~|...隂
頌,sohngw,4/\.颂..頌
頰,jjiad,2-/..戛.頰郟
顆,kem,1|~.颗.瞌蝌嗑髁.顆趷
顪,huihh,4|-...顪
飼,sihw,4/\...飼
駕,jiahv,4~/.架驾嫁..駕
駝,ttuof,2-|..橐坨酡柁.駝駞
驌,suhf,4-|.速粟.蔌.驌藗
驘,lluoy,2\-...驘鸁
鰠,saoq,1/~..臊鳋.鰠
鰹,jianq,1/~..鲣.鰜鰹鳒
鲗,zzeiq,2/~...鲗
鶒,chihf,4-|.赤翅.敕踅.趩鶒鷘
鶗,ttim,2|~.题蹄啼..題鶗
鷥,six,1~~.丝.鸶缌.絲鷥緦
鷹,yingy,1\-.应鹰.膺.韺鷹
齊,qqiy,2\-.齐旗.麒.齊麡竒
硙,weihd,4-/...硙磑
禜,yoongi,3\/...禜
糢,mmoi,2\/...糢
藠,jiaohf,4-|.酵.醮.較轎藠
镦,duiht,4/-..镦.
蕂,shehngf,4-|...聖蕂
霮,dahns,4-\...霮
沩,wweio,2\\.惟潍.涠沩.
颼,souq,1/~..飕馊.颼
禬,guihp,4\~...禬襘
鴪,yuho,4\\.誉寓浴..鴪鴧
鮨,yihq,4/~.逸臆肄..鮨
鱣,shahnq,4/~.膳.鳝.鱣
盝,luhn,4~-.录.逯.盝
眹,zhehnm,4|~..赈.眹
睖,lehngm,4|~...睖
磫,zongd,1-/...磫
禫,dahnp,4\~.诞..禫
繨,ddax,2~~...繨
薦,jiahnf,4-|.荐槛.楗.薦鍳趝
褱,hhuaiy,2\-...褱
鏏,weihw,4/\...鏏餵錗
鮁,bahq,4/~..鲅.鲌鮊鮁
鹓,yuano,1\\.渊..鹓
繟,cchanx,2~~.缠..繟纒纏
繺,shax,1~~.纱..紗繺
沲,duoho,4\\.惰.沲.
餦,zhangw,1/\...餦鏱
篤,duut,3/-..笃.篤
踺,jiahnm,4|~.见践贱.踺.見踐瞷
祦,wwup,2\~...禑祦
篲,huiht,4/-.秽..篲穢
糰,ttuani,2\/...糰
絙,gengx,1~~...絙縆
纄,ppengx,2~~...纄
脝,hengq,1/~...脝
茊,zif,1-|..髭趑.茲菑趦茊薋葘鄑
菫,jiinf,3-|..槿堇.緊菫蓳
蓞,uuhhf,5-|...蓞聣
酦,pof,1-|.坡..酦醱
醾,mmif,2-|.醚.蘼.醿蒾醾
锳,yingt,1/-...锳
钶,ket,1/-.科.稞钶.簻
鲼,fehnq,4/~..鲼.膹
齄,zhar,1/|..齄.
鴨,yam,1|~.鸭..鴨
鷧,yihf,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
祋,duihp,4\~...祋
箯,biant,1/-..笾.箯
粐,huhi,4\/...粐
粦,llini,2\/..粼遴.鄰粦
粭,hhei,2\/...粭
紃,xxunx,2~~.巡驯..紃
脰,douhq,4/~...饾脰
芃,ppengf,2-|.彭蓬棚.堋.芃髼鬅
苽,guf,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
莿,cihf,4-|.刺..莿
菆,zouf,1-|..鄹.菆
藗,suhf,4-|.速粟.蔌.驌藗
藧,huahnf,4-|.换.擐.藧
袵,rehnp,4\~.认.衽.袵讱
裯,daop,1\~...裯
褵,llip,2\~...褵
襆,ppup,2\~...襆
詤,huaangy,3\-...詤
譓,huihy,4\-...譓詯諱
跊,meihm,4|~.昧..眊跊
軈,yingr,1/|...軈
苘,qiingf,3-|..謦苘.
迺,naaif,3-|..艿.迺
掭,tiahnf,4-|..掭.
邇,eerd,3-/...邇
邘,yyug,2--.于盂.瑜.邘
鄳,mmengm,2|~.盟.虻.鄳矒
猸,mmeiq,2/~..猸.
艴,ffun,2~-.弗.艴.
鑕,zhihw,4/\...鑕鋕
柃,llingf,2-|.菱.聆苓棂柃.醽
闒,tahm,4|~.踏蹋.沓.遝闒
毹,shuw,1/\.舒.毹.鵨
脶,lluoq,2/~..猡脶.
颋,tiingt,3/-...颋
鵀,rrenr,2/|.仁..鵀
鶜,mmaof,2-|.茅.髦茆.髳鶜
鶟,ttuo,2\\.涂..鶟
鷱,gaor,1/|.皋.睾.鷱臯
鷲,jiuhy,4\-.就疚.鹫.鷲
鹍,kunm,1|~.昆..鹍蜫
麖,jingy,1\-.京.旌.麖
軎,weihf,4-|.蔚.軎.苿藯
稂,llangt,2/-..锒稂.
蒞,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
蠆,chaihf,4-|...蠆
褲,kuhp,4\~.裤..袴褲
佧,kaar,3/|..佧.
紵,zhuhx,4~~.驻..纻紵
緌,rruix,2~~...緌
蠾,zzhum,2|~..躅.蠋蠾鸀
裲,liaangp,3\~...裲
郈,houhe,4//.后.後逅.郈
鋐,hhongw,2/\...鋐谼
餱,hhouw,2/\...餱
瓞,ddiee,2//..瓞.
驙,zhanf,1-|...驙薝
鯙,cchunq,2/~...鯙
眆,faangm,3|~...眆
睠,juahnm,4|~...睊睠罥
瞫,sheenm,3|~..哂.瞫
矅,yaohm,4|~..曜.矅
碃,qihngd,4-/...碃
禃,zzhip,2\~...禃
秔,jingt,1/-...秔
穻,yuo,1\\.淤..穻盓
箇,geht,4/-.铬..箇
籐,ttengt,2/-...籐
絏,yihx,4~~.绎.驿缢.絏
纕,xiangx,1~~.乡.骧缃.鄉纕緗
翐,zhihc,4~\...翐
耈,goouf,3-|.苟..耈耇
耎,nuohd,4-/...耎
脷,lihq,4/~..猁.脷
膕,gguoq,2/~...腘膕
艐,kehe,4//...艐
艷,yahnh,4|-...艷鬳
苙,lihf,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
葹,shif,1-|..蓍.邿葹
蓂,mihf,4-|...蓂
蔲,kouhf,4-|.扣.蔻.蔲鷇
薋,zif,1-|..髭趑.茲菑趦茊薋葘鄑
蛷,qqium,2|~.囚.虬蝤赇.虯蛷
蜑,dahnr,4/|.但..蜑
衂,nyuhr,4/|..衄.衂
衋,xihn,4~-...衋
袿,guip,1\~...袿
訕,shahny,4\-..疝.訕
訝,yahy,4\-...訝
詠,yoongy,3\-...詠
誳,juehy,4\-...誳
諆,qiy,1\-.凄..諆
讱,rehnp,4\~.认.衽.袵讱
軃,tuoor,3/|...軃
轝,yuhr,4/|...鴥轝礜譽軉
郀,kud,1-/..刳.矻郀
郵,yyout,2/-.铀..郵
鉐,sshiw,2/\.食..鉐蝕鉽
鍧,hongw,1/\...鍧
鍼,qqianw,2/\...錢鍼
鏦,congw,1/\...鏦
镵,cchant,2/-...镵
閭,llyum,2|~...閭瞜
闢,pihm,4|~...闢
陗,qiaohb,4~|...陗
陼,duub,3~|...陼
韈,wahf,4-|...靺韈
骫,weeim,3|~..韪.骫骩蜼
骳,beihm,4|~.贝..貝骳
骹,jiaom,1|~..蛟跤.蟭骹
髠,kunf,1-|.坤.髡醌.髠
髥,rranf,2-|..髯.髥
鳒,jianq,1/~..鲣.鰜鰹鳒
鶡,hhem,2|~..曷.鶡鹖
龒,mmangy,2\-.盲氓.邙.龒
籂,shiht,4/-.适.舐筮铈.籂
翯,hehc,4~\...翯
莚,yyanf,2-|.严盐.檐.鹽莚
萗,cehf,4-|...萗蓛
転,zhuaanf,3-|...轉転
鄷,fengm,1|~.峰蜂..鄷盽豊
靭,rehnf,4-|..葚.靭靱軔
馉,guuq,3/~.股.臌.馉脵
騙,piahnf,4-|...騙
驊,hhuaf,2-|...華驊
鼰,jjur,2/|...鼰
綑,kuunx,3~~...綑
績,jix,1~~.缉.畿.績緝
臘,lahq,4/~.腊..鱲臘臈
臛,huohq,4/~...臛
賜,cihm,4|~.赐..賜
贈,zehngm,4|~.赠..贈
蹣,ppanm,2|~..蹒蟠.蹣踫
軡,qqianf,2-|.乾.荨掮.葴軡
鋸,juhw,4/\...鐻鉅鋸
錐,zhuiw,1/\...錐
顎,ehm,4|~.遏鄂.颚鹗.顎鶚
瞐,mohm,4|~.默墨..瞐眜
銶,qqiuw,2/\...銶
钖,yyangt,2/-...钖
矊,mmianm,2|~.眠..矊
矘,taangm,3|~...矘
矚,zhuum,3|~.嘱瞩..矚
矡,jjuec,2~\...矡
硽,yand,1-/.奄..硽
磿,lihd,4-/.历厉励砾.砺.磿
礈,zhuihd,4-/...礈
礜,yuhr,4/|...鴥轝礜譽軉
秲,zhiht,4/-.制智秩稚.雉.製铚秲锧稙鴙
窮,qqiongo,2\\.穷.穹.窮
竄,cuahno,4\\.窜..竄
笗,dongt,1/-..氡.笗
箘,juhnt,4/-...箘
箽,doongt,3/-...箽
簍,loout,3/-.篓..簍
簜,dahngt,4/-...簜
粷,jjui,2\/...粷
絨,rrongx,2~~.绒..絨
絹,juahnx,4~~.绢..絹
緷,yuhnx,4~~...緷
緻,zhihx,4~~..彘.紩緻
繉,hhunx,2~~...繉
繙,ffanx,2~~...繙
罁,gangt,1/-.钢缸..罁
羅,lluom,2|~.罗逻螺..羅邏
羇,jim,1|~.畸.叽羁唧跻咭.踦羇羈
聣,uuhhf,5-|...蓞聣
聰,congf,1-|.聪葱.枞苁.茐聦聰蔥驄聡
脙,xiuq,1/~..馐.脙
脛,jihngq,4/~..胫獍.脛
脻,jieq,1/~...脻
脼,laangq,3/~...脼
腗,ppiq,2/~.脾..腗
艜,daihe,4//.待..艜
萊,llaif,2-|.莱..萊鶆
葘,zif,1-|..髭趑.茲菑趦茊薋葘鄑
葢,gaihf,4-|.概.丐.蓋葢
蔥,congf,1-|.聪葱.枞苁.茐聦聰蔥驄聡
藍,llanf,2-|.蓝拦栏婪..蘭葻藍
藘,llyuf,2-|..榈.藘驢馿
藝,yihf,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蘿,lluof,2-|.萝.椤.騾蘿
蛬,qqiongf,2-|..邛蛩跫茕.蛬藑赹
螁,banm,1|~...螁
螚,nnaic,2~\...螚
螤,zhongy,1\-.衷..螤
袇,rranp,2\~...袇
袌,baohy,4\-...袌
袔,kehp,4\~.课..袔
袦,nahp,4\~..衲.袦
袨,xuahnp,4\~...袨
覂,baanf,3-|.板.坂.覂
訃,fuhy,4\-...訃
訋,diaohy,4\-...調訋
詫,duhy,4\-.度..詫
詬,gouhy,4\-...詬訽
詮,qquany,2\-.痊..詮譔
詻,ehy,4\-...詻讍
誠,cchengy,2\-...誠
謬,miuhy,4\-...謬
譃,xuy,1\-...諝譃
譄,zengy,1\-...譄
譯,yihy,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
譽,yuhr,4/|...鴥轝礜譽軉
賰,chuunm,3|~...賰
趮,zaohf,4-|...趮
蹱,zhongm,1|~.中忠盅..蹱
軙,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
軠,kkuangf,2-|...軠
輩,beihh,4|-.背辈.邶.輩
辭,cciw,2/\...鈶辭
遜,xuhnb,4~|.逊..遜
鄧,dehngc,4~\.邓凳..鄧
鄫,zengi,1\/...鄫
鄿,jif,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
酀,yaanf,3-|.掩.郾.菴酀鶠
釡,fuuw,3/\.斧釜..釡
釢,naaiw,3/\...釢
鉃,shihw,4/\.释.弑.釋鉃鈰飾
鍍,duhw,4/\...鍍
鍎,ttuw,2/\.途..鍎
鎖,suoow,3/\...鎖鏁
闃,quhm,4|~...闃閴
鞗,ttiaor,2/|...鞗鯈
韱,xianw,1/\...韱
頹,ttuit,2/-.颓..頹頺
願,yuahnd,4-/.愿..願
顳,niehf,4-|.聂孽.颞蘖.菍糵顳苶聶
餁,rehnw,4/\...餁飪
餃,jiaaow,3/\...餃釥
餵,weihw,4/\...鏏餵錗
馮,ffengy,2\-...馮
馳,cchif,2-|.持.墀坻茌.馳
駛,shiif,3-|...駛
騎,qqif,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
騺,zhihf,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
鯚,jihq,4/~.祭.鲫鲚.鯚鯽鰿
鰟,ppangq,2/~..逄.鳑鰟蠭
鱉,biei,1\/.憋鳖..鼈鱉
鳛,xxiq,2/~...鳛
鴟,chiq,1/~..鸱.鴟
鴮,wud,1-/...鴮
鴲,zhiq,1/~.脂肢.胝.鴲胑
鴷,liehhd,5-/...鴷
鷷,zuni,1\/.尊遵..鷷
鸀,zzhum,2|~..躅.蠋蠾鸀
麎,ccheny,2\-...麎
麡,qqiy,2\-.齐旗.麒.齊麡竒
麧,hhef,2-|.核荷菏.盍翮.鞨麧覈
鼇,vvaog,2--.熬敖.鳌遨螯獒聱.鰲鼇
鼞,tangf,1-|...鼞鞺
鼤,wwenr,2/|...鼤
齺,zouh,1|-...齺
齽,jihnh,4|-...齽
龑,yahhny,5\-...龑
砮,nnuv,2~/.奴.驽孥.砮
綟,lihx,4~~...綟
緜,mmianr,2/|...緜
繑,juex,1~~...繑
纑,llux,2~~...纑
罈,ttant,2/-..锬镡.罈
蠙,binm,1|~...蠙
輴,chunf,1-|.椿..輴
酨,zaihf,4-|.再载..酨
鏂,ouw,1/\...鏂
駹,mmangf,2-|.茫芒..駹
鎪,souw,1/\...鎪
瞕,zhahngm,4|~.帐账.嶂幛.瞕
窪,wao,1\\.洼..窪窊
肻,keenh,3|-.肯.龈.肻
蠔,hhaom,2|~.嚎.嗥蚝.蠔
鐰,qiaow,1/\...鍬鐰
綵,caaix,3~~...綵
鮰,hhuiq,2/~...鮰
鳾,shihhf,5-|...鳾
虰,dingm,1|~.盯叮.町.虰
驎,llinf,2-|.林..臨驎
荬,maaif,3-|..荬.蕒
鑛,kuahngw,4/\...鑛
犏,piant,1/-.篇.犏.
鞧,qiuf,1-|..楸.趥鞧鞦
鮋,yyouq,2/~.犹.鱿.鲉鮋
鰷,ttiaoq,2/~.条.鲦.鰷
鶲,wengw,1/\.翁..鹟鶲
盕,fahno,4\\.泛..盕
盩,zhouf,1-|...盩輈輖
盻,paanm,3|~...闆盻
眖,kuahngm,4|~.旷眶.贶.眖
砛,jind,1-/...砛
硈,qiahd,4-/...硈
禢,tahp,4\~...禢
禥,qqip,2\~.祈祁.祺.祇禥
窼,keo,1\\..窠.窼
竏,qiany,1\-...竏
筈,kuoht,4/-...筈秳
筽,ohht,5/-...筽
篴,ddit,2/-.敌笛..篴
籆,yueht,4/-..钺.籆
籇,hhaot,2/-...籇
紏,tooux,3~~...紏
肣,hhanq,2/~...肣
胑,zhiq,1/~.脂肢.胝.鴲胑
臮,jihr,4/|.伎.偈.臮
苲,zhaaf,3-|...苲
蒃,zhuahnf,4-|.撰..蒃
虗,xuh,1|-.虚..虛虗
蜌,bihm,4|~..跸哔畀睥髀.閉閟蜌罼赑
跘,bahnm,4|~...跘
鞦,qiuf,1-|..楸.趥鞧鞦
驄,congf,1-|.聪葱.枞苁.茐聦聰蔥驄聡
鷭,ffanw,2/\...鐇鷭
鸼,diaaoe,3//...鸼
鹐,qianq,1/~...鹐
矄,xunm,1|~.勋.曛.矄
魖,xur,1/|...魆魖
鴐,gev,1~/...鴐
薀,wenf,1-|...蕰藴薀
謏,xiaaoy,3\-...謏
脎,sahq,4/~..脎.
締,dihx,4~~.缔..締
聧,kuif,1-|...聧
脜,yoouq,3/~...脜
艤,yiie,3//..舣.艤
荖,laaof,3-|.老.栳.荖
蕌,leeif,3-|.蕾..蕌
蠷,qqum,2|~..蠼氍.跼蠷
褏,youhy,4\-...誘褏褎
觽,wweiq,2/~...鮠觿觽
踫,ppanm,2|~..蹒蟠.蹣踫
蹽,liaom,1|~...蹽
軉,yuhr,4/|...鴥轝礜譽軉
軛,ehf,4-|.恶扼.噩萼垩苊.蕚軛蘁
墚,lliangf,2-|..椋墚.
搌,zhaanf,3-|..搌.醆
擗,piif,3-|..圮擗.
哳,zham,1|~..哳.蹅
鋻,jianf,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
楗,jiahnf,4-|.荐槛.楗.薦鍳趝
韂,chahnf,4-|...韂
飆,biaod,1-/..飙.飆
饏,dahnn,4~-.弹..饏
耥,tangg,1--..耥.
髼,ppengf,2-|.彭蓬棚.堋.芃髼鬅
篼,dout,1/-..篼.
鬑,llianf,2-|.联莲..連蓮聯鬑聫
醑,xuuf,3-|..栩醑.
鴧,yuho,4\\.誉寓浴..鴪鴧
眜,mohm,4|~.默墨..瞐眜
瞷,jiahnm,4|~.见践贱.踺.見踐瞷
磦,piaod,1-/...磦
礨,leeim,3|~...礨鸓蠝
祃,mahp,4\~...祃禡
祲,jihnp,4\~...祲
祻,guhp,4\~.雇..顧祻
窊,wao,1\\.洼..窪窊
簥,jiaot,1/-...簥
籲,yuht,4/-..毓钰.籲籞
縢,ttengq,2/~.腾.滕.縢騰謄
繌,shaax,3~~...繌
繒,zengx,1~~..缯.繒
聜,diif,3-|.抵.柢.菧聜軧
胔,zihh,4|-...眥胔
胾,zihf,4-|...胾
脨,jjiq,2/~.及急..脨
膼,zhuaq,1/~...膼
艕,bahnge,4//...艕
苼,shengf,1-|.声..聲苼
莻,neuhhsf,5-|...莻
蓨,ttiaof,2-|..苕髫.蓚蓨
蓵,jjief,2-|.节杰截捷劫桔.颉拮.蓵
蓾,luuf,3-|.掳.橹.蓾
藦,mohf,4-|.莫.蓦茉.驀藦
虀,jif,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
蚈,qianm,1|~..岍.蚈
蛡,yihm,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
蛻,tuihm,4|~.蜕..蛻
蝝,yuanm,1|~...蝝蜎
蝹,aaom,3|~...蝹
蟿,jihf,4-|.技蓟.髻芰荠.繫蟿繋驥
衼,zhip,1\~.之.祗.衼禔禵
褦,naihp,4\~...褦
襶,daihp,4\~...襶
覐,jiaohm,4|~.叫.峤噍.覐
詯,huihy,4\-...譓詯諱
誴,ccongy,2\-...誴
諓,jiahny,4\-...諓
謧,lliy,2\-.离..離謧
謪,shangy,1\-.商..謪
譁,wway,2\-...譁
貤,yyim,2|~.遗.咦贻眙嶷.遺貤貽
赪,chengf,1-|.撑.柽.赪頳
踖,jjim,2|~..岌嵴戢.蹐踖蝍
軆,tir,1/|...軆
輈,zhouf,1-|...盩輈輖
鄛,cchaox,2~~.巢..鄛
鄡,qiaor,1/|..劁.鄡
醖,yuhnf,4-|.蕴酝..醖醞
屺,qiim,3|~.岂.屺.豈
鍑,fuhw,4/\.父..鍑
鏉,shouhw,4/\.受..鏉
雊,gouhq,4/~.够..雊
顓,zhuanm,1|~..颛.顓耑
飐,zhaanq,3/~...飐
稆,lyuut,3/-.铝.稆.
駳,dahnf,4-|..萏.駳髧
騽,xxif,2-|.檄.觋.騽蓆薂
骍,xingx,1~~...骍
筻,gahngt,4/-..筻.
魱,hhuq,2/~.狐.斛猢.魱
舣,yiie,3//..舣.艤
鮾,neeiq,3/~.馁..鮾鯘
