的,daiehh,5/|.的..
贠,youuahn,2~\...贠
跡,jioiih,4|~..觊跽哜.罽蹟跡
踦,jioi,1|~.畸.叽羁唧跻咭.踦羇羈
遯,daouuhn,4/~...遯
鉅,jauuuh,4/\...鐻鉅鋸
鎌,lauiahn,2/\...鐮鎌
靉,euaaih,4-\...靉
韲,juei,1\-..齑.韲齏
餖,dauoouh,4/\...餖
鶺,jueih,2\-.疾脊.瘠.鹡鶺
麕,jueun,1\-..麇.麕麏
瞼,jioiaan,3|~..睑趼囝.瞼
菵,weiaang,3-|.枉..菵
蟭,jioiao,1|~..蛟跤.蟭骹
錏,yaua,1/\...錏
踐,jioiaahn,4|~.见践贱.踺.見踐瞷
輾,neiiaan,3-|.捻撵..輾
銷,xauiao,1/\...銷鴵
閣,gioeh,2|~.蛤.骼嗝.閣
頁,yeaeeh,4-/.页.靥.頁
驟,zheioouh,4-|..酎荮.驟
碼,meaaa,3-/.码..碼
禎,zhuoen,1\~..祯.禛禎
禦,yaauuh,4//.御..禦衘
稖,baeaahng,4/-.镑..稖
稟,bueiing,3\-..禀.稟
竇,duuoouh,4\\..窦.竇
笇,saeuaahn,4/-.算..笇筭
篂,xaeing,1/-...篂
緛,roouaan,3~~...緛
編,booian,1~~.编..編
縿,xooian,1~~.纤..纖縿
舊,jeiiuuh,4-|.救.柩桕.舊
蓴,teiuahn,2-|..抟.蓴
蕚,eieeh,4-|.恶扼.噩萼垩苊.蕚軛蘁
蘆,leiuh,2-|.芦.栌垆.蘆
蝿,yioihng,2|~.蝇..蝿蠅
袃,cheoaaih,4-~..虿.袃
親,quein,1\-.亲..親
訴,sueuuh,4\-...訴
讕,lueahn,2\-..斓.讕
讚,zueaahn,4\-...讚
財,cioaih,2|~.财..財
贏,yueihng,2\-.赢.嬴.贏
軅,yaiaahn,4/|...軅
軓,feiaahn,4-|.范.梵.軓
釙,pauo,1/\...釙
鉄,zhauih,2/\...鉄
錆,qauiang,1/\..戗.鎗錆鏘鸧
閶,chioang,1|~.昌..閶
鯕,qaoih,2/~.脐.鳍.臍鯕鲯
鶕,uean,1\-..庵.鶕
麨,cheiaao,3-|...麨
脭,chaoehng,2/~..塍.脭
鲯,qaoih,2/~.脐.鳍.臍鯕鲯
鐏,zauun,1/\...鐏
魾,paoi,1/~...鲏魾鮍
眎,shioiih,4|~.是嗜噬..眎
睞,lioaaih,4|~..睐.睞
窋,kuuu,1\\.窟..窋
籠,laeohng,2/-.笼..籠篭
綠,lyoouuh,4~~.绿..綠繂
縡,zooaaih,4~~...縡
縫,fooehng,2~~.缝..縫
肅,soeuuh,4~-.肃..肅鷫粛
鉏,chauuh,2/\...鉏鋤
謦,qeiiing,3-|..謦苘.
麹,qeeu,1--...麹
蔔,beiohh,5-|...蔔
繐,soouiih,4~~...繸繐
眥,zieiih,4|-...眥胔
粺,buaaaih,4\/...粺
缊,wooen,1~~...缊縕緼
艈,aauuhh,5//...艈
蓇,geiu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
蛣,jioieh,2|~.睫..蛣蜐
蹾,dioun,1|~.吨蹲..蹾
掎,jeiii,3-|.挤.戟掎.
哜,jioiih,4|~..觊跽哜.罽蹟跡
鄦,xaeuu,3/-...鄦
陞,shoieng,1~|...陞
韰,xieieeh,4|-...韰齛
飖,yauaoh,2/\.遥.肴爻繇.飖餆餚颻
镲,chaeaa,3/-..镲.
麃,bueiao,1\-...麃
禑,wuouh,2\~...禑祦
筰,zaeuoh,2/-...稓筰
聠,peiihng,2-|.萍苹坪.枰.聠蓱
茷,peieeih,4-|.配..茷
螀,jueiang,1\-.将浆..螀
袞,gueuun,3\-..衮.袞
褧,jeiioong,3-|...褧蘔
賮,joeiihn,4~-.尽..盡賮
赗,fioeehng,4|~...赗
踡,jiouaan,3|~...踡
揞,eiaan,3-|..埯揞.
遝,tioaah,4|~.踏蹋.沓.遝闒
酂,zaeaahn,4/-.赞..酂酇贊
酇,zaeaahn,4/-.赞..酂酇贊
醜,cheioou,3-|...醜
檑,leieih,2-|.擂.檑.蔂
雮,meuuuh,4-\...雮霂
氍,qiouh,2|~..蠼氍.跼蠷
腙,zaoong,1/~..腙.鯮
飩,tauuhn,2/\...飩
痖,yueaa,3\-..痖.
髣,feiaang,3-|...髣
髳,meiaoh,2-|.茅.髦茆.髳鶜
酎,zheioouh,4-|..酎荮.驟
鲒,jaoieh,2/~..桀鲒.
鲪,jaoun,1/~...鲪
鹯,zhuean,1\-..旃.鹯邅譫鸇詀
麜,lueiih,4\-.立痢.疠疬.麜讈
齸,yieiih,4|-...齸
齻,dieian,1|-...齻
粩,luaao,1\/...粩
詣,yueiih,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
隄,doii,1~|...隄
簰,paeaih,2/-...簰
蒾,meiih,2-|.醚.蘼.醿蒾醾
蓏,leiuoo,3-|...蓏
薳,weieei,3-|.苇..薳葦趡蔿
藛,xeiiee,3-|...藛
蚢,hioahng,2|~.吭..蚢
蓠,leiih,2-|..藜鹂蓠.醨菞
蓰,xeiii,3-|.喜.葸蓰.
遡,suauuh,4\/.塑..遡
郋,xaiih,2/|...郋
鄜,fueu,1\-...鄜
錞,dauuiih,4/\...鐓錞鋭
靣,meaiaahn,4-/.面..靣
鸂,xuui,1\\.惜溪汐.淅浠穸.窸鸂
麐,lueihn,2\-..麟.麐
麚,jueia,1\-..痂.麚
齧,neeieeh,4--...齧
睊,jiouaahn,4|~...睊睠罥
砢,leauoo,3-/...砢
碻,qeaiao,1-/..硗.碻
絃,xoouaahn,4~~.绚..絃縼
茝,zheiii,3-|.指址.酯芷枳.茝藢
菴,yeiaan,3-|.掩.郾.菴酀鶠
袥,tuouo,1\~...讬袥
襍,zuoah,2\~...襍
覗,soeiih,4~-.巳..覗
詩,shuei,1\-.施..詩
諥,zhueoohng,4\-...諥
跂,qioih,2|~.崎畦.岐蛴蜞.跂蚑螧
辵,chaauooh,4//...辵
邅,zhuean,1\-..旃.鹯邅譫鸇詀
醨,leiih,2-|..藜鹂蓠.醨菞
頍,keiuii,3-|...頍
疰,zhueuuh,4\-..疰.麆竚註
觜,ziei,1|-..龇赀訾觜.貲齜
鴿,gaue,1/\.鸽..鴿
笭,laeihng,2/-.铃..笭秢
糷,luaaahn,4\/.烂..糷
纘,zoouaan,3~~..缵.纘纉
翉,beieen,3-|.本苯..翉
胵,zhaoiih,4/~.炙.觯.胵
芖,zheiiih,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
蔣,jeiiaang,3-|.蒋..蔣
蔦,neiiaao,3-|..茑.蔦
蛚,lioieeh,4|~..躐.蛚睙
蛯,lioaao,3|~...蛯
蜏,yiooou,3|~..黝.蜏
讞,yueaahn,4\-.彦..讞讌諺
賲,baiaao,3/|.保堡..賲
钃,zhauuh,2/\...钃
餈,cueih,2\-.瓷..詞餈
馧,waeooh,4/-...馧
麤,cueu,1\-...麤
鼶,saii,1/|...鼶
禱,duoaao,3\~.祷..禱
臓,zaoaahng,4/~...臟臓
鈍,dauuuhn,4/\...鈍
錫,xaui,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
紛,fooen,1~~.纷..紛
遙,yaoaoh,2/~..鳐.遙
螣,taoeeh,4/~...螣脦
铽,taeeeh,4/-.特.铽.
竝,bueiihng,4\-.病..竝
粊,beoii,3-~.比..粊
紗,shooa,1~~.纱..紗繺
紮,zeia,1-|.匝.拶.紮
絺,zhooii,3~~.纸..紙絺
絿,qooiuh,2~~...絿
緯,wooeei,3~~.纬..緯
脦,taoeeh,4/~...螣脦
臇,jaouaan,3/~...臇
臋,toeuhn,2~-.臀..臋
葍,feiuh,2-|.扶拂.芙苻茯菔莩桴.葍輻
葞,meiii,3-|...葞
葯,yeiaaoh,4-|.要药..藥靿葯
葻,leiahn,2-|.蓝拦栏婪..蘭葻藍
藙,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蜔,dioiaahn,4|~.电..蜔
螕,bioi,1|~...螕
蟻,yioii,3|~.蚁..螘顗蟻
襲,xueih,2\-.席..襲
觼,jaoueh,2/~..獗觖.觼
觿,waoeih,2/~...鮠觿觽
詼,hueui,1\-..麾.詼
諝,xueu,1\-...諝譃
貨,haiuooh,4/|.货..貨
賀,hoaeeh,4~/.贺..賀
趧,teiih,2-|.提.醍荑.趧騠蕛
跉,lioihng,2|~..蛉呤囹.跉
躍,yioueeh,4|~.跃..閱躍躒
軒,xeiuan,1-|..萱揎.蕿軒
輪,leiuhn,2-|...輪菕
邉,baiian,1/|...邊邉
鄶,kauuaaih,4/\..郐.鄶
酁,chaoahn,2/~.馋..酁
釀,neiiaahng,4-|.酿..釀
鈾,yauouh,2/\...鈾
鈿,dauiaahn,4/\...鈿
鍊,lauiaahn,4/\...鍊鏈
闀,hiooohng,4|~...闀閧
闄,yioaao,3|~.咬.崾.闄
腽,waoaah,4/~..腽.
霧,weuuuh,4-\.雾..霚霧
韌,roieehn,4~|...韌
頎,kaaeen,3//...頎
額,uueh,2\\.额..額
顫,chueaahn,4\-.颤..顫
顬,reuuh,2-\..颥.顬
髿,seiuo,1-|.梭蓑.桫.髿
鴣,geiu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
鶝,beiiih,4-|.蔽蓖.薜萆荜.苾鶝髲駜驆
鷣,yeiihn,2-|..垠鄞.鷣
齋,zhueai,1\-.斋..齋
鋊,yauuuh,4/\.欲愈.鹆.鋊鈺鐍錥
隤,toiuih,2~|...隤
艦,jaaiaahn,4//.舰..艦
譟,zueaaoh,4\-...譟
蒉,keiuiih,4-|..匮聩蒉.聭聵
磜,qeaiih,4-/.砌.碛.碶磜磩
綼,booiih,4~~...綼縪
輋,shioe,1|~.赊..輋
頨,youuu,3~\.予羽..頨
閗,diooouh,4|~...閗
鮍,paoi,1/~...鲏魾鮍
鯡,faoei,1/~..鲱.鯡
鲹,shaoen,1/~...鲹鯵鯓
禣,fuouuh,4\~.讣..褔袝祔禣
粏,tuaaaih,4\/...粏
綿,mooiahn,2~~.绵..綿
臐,xaoun,1/~..獯.臐
迏,deaah,2-/.达..迏
鋾,tauaoh,2/\.逃.鼗.鋾
鐇,fauahn,2/\...鐇鷭
铻,waeuh,2/-...铻
鮼,qaoin,1/~...鮼
鼈,buaie,1\/.憋鳖..鼈鱉
込,rauuuh,4/\.入..鳰込
篰,baeuuh,4/-.簿.钚.篰
痄,zhueaah,4\-..痄.詐
睄,qioiaoh,2|~.瞧..睄
磡,keaaahn,4-/...磡
窔,yuuaaoh,4\\...窔
筊,jaeiaao,3/-.矫铰..矯筊
羺,nuaouh,2\/...羺
腪,yaouuhn,4/~...腪
臢,zaoa,1/~...臜臢
荄,geiai,1-|..垓.荄
蓡,sheien,1-|..莘.蓡蔘葠
蝀,dioong,1|~..咚岽.蝀
詥,gueeh,2\-...詥
豀,xaui,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
苠,meiihn,2-|..苠.
郞,luoahng,2\~.郎..郞
骒,kooeeh,4~~..缂骒.
戤,goaaaih,4~/..戤.
铞,daeiaaoh,4/-.钓.铫铞.
耢,leeaaoh,4--..耢.耮
麯,qeiu,1-|.趋.麴.趨驅麯
秱,taeohng,2/-.铜..秱穜
筼,yaeuhn,2/-...筼
綈,tooih,2~~..缇绨.綈緹
翬,houui,1~\...翬翚
脧,jaouan,1/~...脧
茣,weiuh,2-|.吾芜梧..鹀茣莁
菒,geiaao,3-|.搞.槁藁.菒藳
蓯,zeioong,3-|...蓯蓗
蕝,jeiueh,2-|.掘抉攫.蕨橛桷.蕝芵
詝,zhueuu,3\-.主.麈.詝
謱,lueouh,2\-...謱
冁,chuaaan,3\/..冁.
踧,dioih,2|~.迪..踧
茚,yeiiihn,4-|.荫.茚.酳
辌,leoiahng,2-~...辌
辒,weoen,1-~...辒
郪,qeoi,1-~.七妻..郪鶈
鄘,yueong,1\-.庸雍痈.饔壅.鄘
鄠,heuuuh,4-\...鄠
帱,chioouh,2|~.畴踌.帱.
鈇,fauu,1/\...鈇
缲,qooiao,1~~..缲.
雚,geiuaahn,4-|..鹳掼.雚
雟,goiui,1~|...雟
韺,yueing,1\-.应鹰.膺.韺鷹
頵,yoeun,1~-...頵
顝,kiouaa,3|~...顝
镘,maeaahn,4/-..镘.
鬋,jeiiaan,3-|.检捡拣柬茧.戬枧.鬋醎
酾,sheiai,1-|..酾.
鳣,zhaoan,1/~.詹..鳣
鴦,yioang,1|~.央鸯..鴦眏
麀,yueou,1\-...麀
麉,jeeian,1--..戋.麉
麊,muaih,2\/.迷..麊
麣,yueahn,2\-.言颜..顏麣訮
藬,teiui,1-|.推..藬蓷
鏘,qauiang,1/\..戗.鎗錆鏘鸧
鞚,keioohng,4-|.控..鞚
飔,saoi,1/~...飔
鴃,gaiui,1/|.傀.皈.龜鴃
齏,juei,1\-..齑.韲齏
礄,qeaiaoh,2-/...硚礄
誥,gueaaoh,4\-...誥
醲,neiohng,2-|...醲
毳,caeuiih,4/-..毳.
築,zhaeuuh,4/-.筑铸.箸.築
絫,loueei,3~\.垒..絫
脺,caouiih,4/~.脆..膬臎膵脺
苧,zheiuuh,4-|.著柱.杼苎翥.苧駐
蚘,yioouh,2|~.由邮.蝣蚰.蚘
蝺,yiouu,3|~.屿.圄圉.蝺
蠶,ceoahn,2-~...蠶
裀,yuoin,1\~...禋裀
詧,qaoieeh,4/~...詧
貍,mauaih,2/\...貍
踘,jiou,1|~..雎.踘跔罝
蹷,jeaueh,2-/..厥劂.蹷蟨
蟓,xioiaahng,4|~..蟓.
盦,auan,1/\...盦盫韽
瞆,giouiih,4|~.贵跪.炅刿.貴瞆趹
矰,zaeeng,1/-...矰
磥,leaeih,2-/...磥
祮,guoaaoh,4\~..诰.祮禞祰
稛,kaeuun,3/-...稛稇
箾,xaeiao,1/-.销.箫.箾簫簘
翂,fouen,1~\...翂
胊,qaouh,2/~..劬朐鸲.臒胊臞
蓺,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
薾,eieer,3-|.耳..薾趰
襱,luoohng,2\~...襱
覅,feiiaohh,5-|...覅
讏,waaeeih,4//...衛讏躛
跅,tiouooh,4|~.唾..跅
踆,qioun,1|~...踆
蹔,zeiaahn,4-|...蹔
軐,xeiiaahn,4-|.献.苋.軐
轪,deoaaih,4-~...轪
鄤,wioaahn,4|~...鄤
醰,teiahn,2-|.坛檀.覃.醰藫蕁
鑟,dauuh,2/\...鑟
铔,yaea,1/-...铔
閛,pioeng,1|~..嘭.閛
陙,choiuhn,2~|...陙
霳,leuohng,2-\...霳
顑,yeaaahn,4-/.厌雁砚.赝餍.顑饜贋
镤,paeuh,2/-..镤.穙
鵲,qeiueeh,4-|.却鹊榷.悫.鵲
竚,zhueuuh,4\-..疰.麆竚註
紩,zhooiih,4~~..彘.紩緻
聦,ceiong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
餅,bauiing,3/\...餅鈵鉼
鶄,qeeing,1--.青..鶄
競,jueiihng,4\-.竟竞净靖痉..競竸
簷,yaeahn,2/-..筵.簷
糵,neiieeh,4-|.聂孽.颞蘖.菍糵顳苶聶
紖,zhooeehn,4~~...絼紖
訪,fueaang,3\-...訪
豎,sheiuuh,4-|.术述树束..豎蒁鶐
趦,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
隸,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
禠,suoi,1\~...禠禗
籓,baean,1/-...籓
镥,laeuu,3/-..镥.
盜,duuaaoh,4\\.悼..盜
矝,qouihn,2~\...矝
笖,yaeii,3/-..钇.锜笖
笧,shaeaahn,4/-...笧
簢,maeiin,3/-.敏.鳘.簢鰵
簻,kaee,1/-.科.稞钶.簻
籌,chaeouh,2/-.筹愁稠..籌
粍,zhuaeh,2\/...粍
綍,foouh,2~~..绂绋.綍
縕,wooen,1~~...缊縕緼
罋,wueeehng,4\-...罋
罷,bioaah,4|~.罢..罷跁
翜,shouaah,4~\...翜翣
膰,paoahn,2/~...膰
膲,jaoiao,1/~.胶.鲛.膠膲
菂,deiiih,4-|.地蒂.棣.菂
葦,weieei,3-|.苇..薳葦趡蔿
薢,xeiieeh,4-|.械.榭榍薤.薢
藷,zheiu,1-|.株.茱槠.藷
螞,mioaa,3|~...螞
蠻,mueahn,2\-.蛮..蠻
袀,juoun,1\~.军.皲.軍袀
袐,buoiih,4\~.必.裨.祕禆邲诐袐鴓
覍,biaiaahn,4|/...覍
訌,hueoohng,4\-...訌
訛,ueeh,2\-...訛譌
詿,gueuaah,4\-...詿
諄,zhueun,1\-...諄
譜,pueuu,3\-...譜
豈,qioii,3|~.岂.屺.豈
賢,xeiiahn,2-|...賢
賹,ioaaih,4|~.唉.暧嗌.賹
遷,qeiian,1-|.扦.芊.遷藖韆
釛,bauah,2/\...釛
鈣,gauaaih,4/\...鈣
鈱,mauihn,2/\...鈱
鈶,cauih,2/\...鈶辭
鍛,dauuaahn,4/\...鍛
鍦,shaui,1/\...鍦
鐵,tauiee,3/\...鐵
閯,shioaah,4|~..唼.閯
閺,wioehn,2|~.蚊..聞闅閺閿
閻,yioahn,2|~.岩蜒..閻
隂,yoiiihn,4~|...隂
頌,sauoohng,4/\.颂..頌
頰,jeaiah,2-/..戛.頰郟
顆,kioe,1|~.颗.瞌蝌嗑髁.顆趷
顪,hieuiih,4|-...顪
飼,sauiih,4/\...飼
駕,joaiaah,4~/.架驾嫁..駕
駝,teiuoh,2-|..橐坨酡柁.駝駞
驌,seiuuh,4-|.速粟.蔌.驌藗
驘,lueuoh,2\-...驘鸁
鰠,saoao,1/~..臊鳋.鰠
鰹,jaoian,1/~..鲣.鰜鰹鳒
鲗,zaoeih,2/~...鲗
鶒,cheiiih,4-|.赤翅.敕踅.趩鶒鷘
鶗,tioih,2|~.题蹄啼..題鶗
鷥,sooi,1~~.丝.鸶缌.絲鷥緦
鷹,yueing,1\-.应鹰.膺.韺鷹
齊,queih,2\-.齐旗.麒.齊麡竒
硙,weaeeih,4-/...硙磑
禜,yuaoong,3\/...禜
糢,muaoh,2\/...糢
藠,jeiiaaoh,4-|.酵.醮.較轎藠
镦,daeuiih,4/-..镦.
蕂,sheieehng,4-|...聖蕂
霮,deuaahn,4-\...霮
沩,wuueih,2\\.惟潍.涠沩.
颼,saoou,1/~..飕馊.颼
禬,guouiih,4\~...禬襘
鴪,yuuuuh,4\\.誉寓浴..鴪鴧
鮨,yaoiih,4/~.逸臆肄..鮨
鱣,shaoaahn,4/~.膳.鳝.鱣
盝,loeuuh,4~-.录.逯.盝
眹,zhioeehn,4|~..赈.眹
睖,lioeehng,4|~...睖
磫,zeaong,1-/...磫
禫,duoaahn,4\~.诞..禫
繨,dooah,2~~...繨
薦,jeiiaahn,4-|.荐槛.楗.薦鍳趝
褱,hueuaih,2\-...褱
鏏,waueeih,4/\...鏏餵錗
鮁,baoaah,4/~..鲅.鲌鮊鮁
鹓,yuuuan,1\\.渊..鹓
繟,chooahn,2~~.缠..繟纒纏
繺,shooa,1~~.纱..紗繺
沲,duuuooh,4\\.惰.沲.
餦,zhauang,1/\...餦鏱
篤,daeuu,3/-..笃.篤
踺,jioiaahn,4|~.见践贱.踺.見踐瞷
祦,wuouh,2\~...禑祦
篲,haeuiih,4/-.秽..篲穢
糰,tuauahn,2\/...糰
絙,gooeng,1~~...絙縆
纄,pooehng,2~~...纄
脝,haoeng,1/~...脝
茊,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
菫,jeiiin,3-|..槿堇.緊菫蓳
蓞,eiuuhh,5-|...蓞聣
酦,peio,1-|.坡..酦醱
醾,meiih,2-|.醚.蘼.醿蒾醾
锳,yaeing,1/-...锳
钶,kaee,1/-.科.稞钶.簻
鲼,faoeehn,4/~..鲼.膹
齄,zhaia,1/|..齄.
鴨,yioa,1|~.鸭..鴨
鷧,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
祋,duouiih,4\~...祋
箯,baeian,1/-..笾.箯
粐,huauuh,4\/...粐
粦,luaihn,2\/..粼遴.鄰粦
粭,huaeh,2\/...粭
紃,xoouhn,2~~.巡驯..紃
脰,daooouh,4/~...饾脰
芃,peiehng,2-|.彭蓬棚.堋.芃髼鬅
苽,geiu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
莿,ceiiih,4-|.刺..莿
菆,zeiou,1-|..鄹.菆
藗,seiuuh,4-|.速粟.蔌.驌藗
藧,heiuaahn,4-|.换.擐.藧
袵,ruoeehn,4\~.认.衽.袵讱
裯,duoao,1\~...裯
褵,luoih,2\~...褵
襆,puouh,2\~...襆
詤,hueuaang,3\-...詤
譓,hueuiih,4\-...譓詯諱
跊,mioeeih,4|~.昧..眊跊
軈,yaiing,1/|...軈
苘,qeiiing,3-|..謦苘.
迺,neiaai,3-|..艿.迺
掭,teiiaahn,4-|..掭.
邇,eaeer,3-/...邇
邘,yeeuh,2--.于盂.瑜.邘
鄳,mioehng,2|~.盟.虻.鄳矒
猸,maoeih,2/~..猸.
艴,foeuh,2~-.弗.艴.
鑕,zhauiih,4/\...鑕鋕
柃,leiihng,2-|.菱.聆苓棂柃.醽
闒,tioaah,4|~.踏蹋.沓.遝闒
毹,shauu,1/\.舒.毹.鵨
脶,laouoh,2/~..猡脶.
颋,taeiing,3/-...颋
鵀,raiehn,2/|.仁..鵀
鶜,meiaoh,2-|.茅.髦茆.髳鶜
鶟,tuuuh,2\\.涂..鶟
鷱,gaiao,1/|.皋.睾.鷱臯
鷲,jueiuuh,4\-.就疚.鹫.鷲
鹍,kioun,1|~.昆..鹍蜫
麖,jueing,1\-.京.旌.麖
軎,weieeih,4-|.蔚.軎.苿藯
稂,laeahng,2/-..锒稂.
蒞,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
蠆,cheiaaih,4-|...蠆
褲,kuouuh,4\~.裤..袴褲
佧,kaiaa,3/|..佧.
紵,zhoouuh,4~~.驻..纻紵
緌,roouih,2~~...緌
蠾,zhiouh,2|~..躅.蠋蠾鸀
裲,luoiaang,3\~...裲
郈,haaoouh,4//.后.後逅.郈
鋐,hauohng,2/\...鋐谼
餱,hauouh,2/\...餱
瓞,daaieh,2//..瓞.
驙,zheian,1-|...驙薝
鯙,chaouhn,2/~...鯙
眆,fioaang,3|~...眆
睠,jiouaahn,4|~...睊睠罥
瞫,shioeen,3|~..哂.瞫
矅,yioaaoh,4|~..曜.矅
碃,qeaiihng,4-/...碃
禃,zhuoih,2\~...禃
秔,jaeing,1/-...秔
穻,yuuu,1\\.淤..穻盓
箇,gaeeeh,4/-.铬..箇
籐,taeehng,2/-...籐
絏,yooiih,4~~.绎.驿缢.絏
纕,xooiang,1~~.乡.骧缃.鄉纕緗
翐,zhouiih,4~\...翐
耈,geioou,3-|.苟..耈耇
耎,neauooh,4-/...耎
脷,laoiih,4/~..猁.脷
膕,gaouoh,2/~...腘膕
艐,kaaeeh,4//...艐
艷,yieaahn,4|-...艷鬳
苙,leiiih,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
葹,sheii,1-|..蓍.邿葹
蓂,meiiih,4-|...蓂
蔲,keioouh,4-|.扣.蔻.蔲鷇
薋,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
蛷,qioiuh,2|~.囚.虬蝤赇.虯蛷
蜑,daiaahn,4/|.但..蜑
衂,nyaiuuh,4/|..衄.衂
衋,xoeiih,4~-...衋
袿,guoui,1\~...袿
訕,shueaahn,4\-..疝.訕
訝,yueaah,4\-...訝
詠,yueoong,3\-...詠
誳,jueueeh,4\-...誳
諆,quei,1\-.凄..諆
讱,ruoeehn,4\~.认.衽.袵讱
軃,taiuoo,3/|...軃
轝,yaiuuh,4/|...鴥轝礜譽軉
郀,keau,1-/..刳.矻郀
郵,yaeouh,2/-.铀..郵
鉐,shauih,2/\.食..鉐蝕鉽
鍧,hauong,1/\...鍧
鍼,qauiahn,2/\...錢鍼
鏦,cauong,1/\...鏦
镵,chaeahn,2/-...镵
閭,lyiouh,2|~...閭瞜
闢,pioiih,4|~...闢
陗,qoiiaaoh,4~|...陗
陼,doiuu,3~|...陼
韈,weiaah,4-|...靺韈
骫,wioeei,3|~..韪.骫骩蜼
骳,bioeeih,4|~.贝..貝骳
骹,jioiao,1|~..蛟跤.蟭骹
髠,keiun,1-|.坤.髡醌.髠
髥,reiahn,2-|..髯.髥
鳒,jaoian,1/~..鲣.鰜鰹鳒
鶡,hioeh,2|~..曷.鶡鹖
龒,mueahng,2\-.盲氓.邙.龒
籂,shaeiih,4/-.适.舐筮铈.籂
翯,houeeh,4~\...翯
莚,yeiahn,2-|.严盐.檐.鹽莚
萗,ceieeh,4-|...萗蓛
転,zheiuaan,3-|...轉転
鄷,fioeng,1|~.峰蜂..鄷盽豊
靭,reieehn,4-|..葚.靭靱軔
馉,gaouu,3/~.股.臌.馉脵
騙,peiiaahn,4-|...騙
驊,heiuah,2-|...華驊
鼰,jaiuh,2/|...鼰
綑,koouun,3~~...綑
績,jooi,1~~.缉.畿.績緝
臘,laoaah,4/~.腊..鱲臘臈
臛,haouooh,4/~...臛
賜,cioiih,4|~.赐..賜
贈,zioeehng,4|~.赠..贈
蹣,pioahn,2|~..蹒蟠.蹣踫
軡,qeiiahn,2-|.乾.荨掮.葴軡
鋸,jauuuh,4/\...鐻鉅鋸
錐,zhauui,1/\...錐
顎,ioeeh,4|~.遏鄂.颚鹗.顎鶚
瞐,mioooh,4|~.默墨..瞐眜
銶,qauiuh,2/\...銶
钖,yaeahng,2/-...钖
矊,mioiahn,2|~.眠..矊
矘,tioaang,3|~...矘
矚,zhiouu,3|~.嘱瞩..矚
矡,jouueh,2~\...矡
硽,yeaan,1-/.奄..硽
磿,leaiih,4-/.历厉励砾.砺.磿
礈,zheauiih,4-/...礈
礜,yaiuuh,4/|...鴥轝礜譽軉
秲,zhaeiih,4/-.制智秩稚.雉.製铚秲锧稙鴙
窮,quuiohng,2\\.穷.穹.窮
竄,cuuuaahn,4\\.窜..竄
笗,daeong,1/-..氡.笗
箘,jaeuuhn,4/-...箘
箽,daeoong,3/-...箽
簍,laeoou,3/-.篓..簍
簜,daeaahng,4/-...簜
粷,juauh,2\/...粷
絨,rooohng,2~~.绒..絨
絹,joouaahn,4~~.绢..絹
緷,yoouuhn,4~~...緷
緻,zhooiih,4~~..彘.紩緻
繉,hoouhn,2~~...繉
繙,fooahn,2~~...繙
罁,gaeang,1/-.钢缸..罁
羅,liouoh,2|~.罗逻螺..羅邏
羇,jioi,1|~.畸.叽羁唧跻咭.踦羇羈
聣,eiuuhh,5-|...蓞聣
聰,ceiong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
脙,xaoiu,1/~..馐.脙
脛,jaoiihng,4/~..胫獍.脛
脻,jaoie,1/~...脻
脼,laoaang,3/~...脼
腗,paoih,2/~.脾..腗
艜,daaaaih,4//.待..艜
萊,leiaih,2-|.莱..萊鶆
葘,zeii,1-|..髭趑.茲菑趦茊薋葘鄑
葢,geiaaih,4-|.概.丐.蓋葢
蔥,ceiong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
藍,leiahn,2-|.蓝拦栏婪..蘭葻藍
藘,lyeiuh,2-|..榈.藘驢馿
藝,yeiiih,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蘿,leiuoh,2-|.萝.椤.騾蘿
蛬,qeiiohng,2-|..邛蛩跫茕.蛬藑赹
螁,bioan,1|~...螁
螚,nouaih,2~\...螚
螤,zhueong,1\-.衷..螤
袇,ruoahn,2\~...袇
袌,bueaaoh,4\-...袌
袔,kuoeeh,4\~.课..袔
袦,nuoaah,4\~..衲.袦
袨,xuouaahn,4\~...袨
