的,daihe,5/|.的..
髠,keiwun,1-|.坤.髡醌.髠
髥,reiran,2-|..髯.髥
鳒,jaowian,1/~..鲣.鰜鰹鳒
鶡,hiore,2|~..曷.鶡鹖
龒,muerang,2\-.盲氓.邙.龒
籂,shaeyi,4/-.适.舐筮铈.籂
翯,houye,4~\...翯
莚,yeiran,2-|.严盐.檐.鹽莚
萗,ceiye,4-|...萗蓛
転,zheivuan,3-|...轉転
鄷,fioweng,1|~.峰蜂..鄷盽豊
靭,reiyen,4-|..葚.靭靱軔
馉,gaovu,3/~.股.臌.馉脵
騙,peiyian,4-|...騙
驊,heirua,2-|...華驊
鼰,jairu,2/|...鼰
綑,kovun,3~~...綑
績,jowi,1~~.缉.畿.績緝
臘,laoya,4/~.腊..鱲臘臈
臛,haoyuo,4/~...臛
賜,cioyi,4|~.赐..賜
贈,zioyeng,4|~.赠..贈
蹣,pioran,2|~..蹒蟠.蹣踫
軡,qeirian,2-|.乾.荨掮.葴軡
鋸,jauyu,4/\...鐻鉅鋸
錐,zhauwui,1/\...錐
顎,ioye,4|~.遏鄂.颚鹗.顎鶚
瞐,mioyo,4|~.默墨..瞐眜
銶,qauriu,2/\...銶
钖,yaerang,2/-...钖
矊,miorian,2|~.眠..矊
矘,tiovang,3|~...矘
矚,zhiovu,3|~.嘱瞩..矚
矡,jourue,2~\...矡
硽,yeawan,1-/.奄..硽
磿,leayi,4-/.历厉励砾.砺.磿
礈,zheayui,4-/...礈
礜,yaiyu,4/|...鴥轝礜譽軉
秲,zhaeyi,4/-.制智秩稚.雉.製铚秲锧稙鴙
窮,quriong,2\\.穷.穹.窮
竄,cuyuan,4\\.窜..竄
笗,daewong,1/-..氡.笗
箘,jaeyun,4/-...箘
箽,daevong,3/-...箽
簍,laevou,3/-.篓..簍
簜,daeyang,4/-...簜
粷,juaru,2\/...粷
絨,rorong,2~~.绒..絨
絹,joyuan,4~~.绢..絹
緷,yoyun,4~~...緷
緻,zhoyi,4~~..彘.紩緻
繉,horun,2~~...繉
繙,foran,2~~...繙
罁,gaewang,1/-.钢缸..罁
羅,lioruo,2|~.罗逻螺..羅邏
羇,jiowi,1|~.畸.叽羁唧跻咭.踦羇羈
聣,eihuu,5-|...蓞聣
聰,ceiwong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
脙,xaowiu,1/~..馐.脙
脛,jaoying,4/~..胫獍.脛
脻,jaowie,1/~...脻
脼,laovang,3/~...脼
腗,paori,2/~.脾..腗
艜,dayai,4//.待..艜
萊,leirai,2-|.莱..萊鶆
葘,zeiwi,1-|..髭趑.茲菑趦茊薋葘鄑
葢,geiyai,4-|.概.丐.蓋葢
蔥,ceiwong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
藍,leiran,2-|.蓝拦栏婪..蘭葻藍
藘,lyeiru,2-|..榈.藘驢馿
藝,yeiyi,4-|.艺抑.懿薏挹埸.藙蓺鷧藝耴輗苅驛
蘿,leiruo,2-|.萝.椤.騾蘿
蛬,qeiriong,2-|..邛蛩跫茕.蛬藑赹
螁,biowan,1|~...螁
螚,nourai,2~\...螚
螤,zhuewong,1\-.衷..螤
袇,ruoran,2\~...袇
袌,bueyao,4\-...袌
袔,kuoye,4\~.课..袔
袦,nuoya,4\~..衲.袦
袨,xuoyuan,4\~...袨
覂,beivan,3-|.板.坂.覂
訃,fueyu,4\-...訃
訋,dueyiao,4\-...調訋
詫,dueyu,4\-.度..詫
詬,gueyou,4\-...詬訽
詮,queruan,2\-.痊..詮譔
詻,ueye,4\-...詻讍
誠,chuereng,2\-...誠
謬,mueyiu,4\-...謬
譃,xuewu,1\-...諝譃
譄,zueweng,1\-...譄
譯,yueyi,4\-.意亦疫毅裔.奕弈翊癔瘗.議詣譯裛謚讛
譽,yaiyu,4/|...鴥轝礜譽軉
賰,chiovun,3|~...賰
趮,zeiyao,4-|...趮
蹱,zhiowong,1|~.中忠盅..蹱
軙,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
軠,keiruang,2-|...軠
輩,bieyei,4|-.背辈.邶.輩
辭,cauri,2/\...鈶辭
遜,xoiyun,4~|.逊..遜
鄧,douyeng,4~\.邓凳..鄧
鄫,zuaweng,1\/...鄫
鄿,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
酀,yeivan,3-|.掩.郾.菴酀鶠
釡,fauvu,3/\.斧釜..釡
釢,nauvai,3/\...釢
鉃,shauyi,4/\.释.弑.釋鉃鈰飾
鍍,dauyu,4/\...鍍
鍎,tauru,2/\.途..鍎
鎖,sauvuo,3/\...鎖鏁
闃,qioyu,4|~...闃閴
鞗,tairiao,2/|...鞗鯈
韱,xauwian,1/\...韱
頹,taerui,2/-.颓..頹頺
願,yeayuan,4-/.愿..願
顳,neiyie,4-|.聂孽.颞蘖.菍糵顳苶聶
餁,rauyen,4/\...餁飪
餃,jauviao,3/\...餃釥
餵,wauyei,4/\...鏏餵錗
馮,fuereng,2\-...馮
馳,cheiri,2-|.持.墀坻茌.馳
駛,sheivi,3-|...駛
騎,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
騺,zheiyi,4-|.志掷挚.栉桎鸷贽.芖騺覟贄驇
鯚,jaoyi,4/~.祭.鲫鲚.鯚鯽鰿
鰟,paorang,2/~..逄.鳑鰟蠭
鱉,buawie,1\/.憋鳖..鼈鱉
鳛,xaori,2/~...鳛
鴟,chaowi,1/~..鸱.鴟
鴮,weawu,1-/...鴮
鴲,zhaowi,1/~.脂肢.胝.鴲胑
鴷,leahie,5-/...鴷
鷷,zuawun,1\/.尊遵..鷷
鸀,zhioru,2|~..躅.蠋蠾鸀
麎,chueren,2\-...麎
麡,queri,2\-.齐旗.麒.齊麡竒
麧,heire,2-|.核荷菏.盍翮.鞨麧覈
鼇,erao,2--.熬敖.鳌遨螯獒聱.鰲鼇
鼞,teiwang,1-|...鼞鞺
鼤,wairen,2/|...鼤
齺,ziewou,1|-...齺
齽,jieyin,4|-...齽
龑,yuehan,5\-...龑
砮,noaru,2~/.奴.驽孥.砮
綟,loyi,4~~...綟
緜,mairian,2/|...緜
繑,jowue,1~~...繑
纑,loru,2~~...纑
罈,taeran,2/-..锬镡.罈
蠙,biowin,1|~...蠙
輴,cheiwun,1-|.椿..輴
酨,zeiyai,4-|.再载..酨
鏂,auwou,1/\...鏂
駹,meirang,2-|.茫芒..駹
鎪,sauwou,1/\...鎪
瞕,zhioyang,4|~.帐账.嶂幛.瞕
窪,wuwa,1\\.洼..窪窊
肻,kieven,3|-.肯.龈.肻
蠔,hiorao,2|~.嚎.嗥蚝.蠔
鐰,qauwiao,1/\...鍬鐰
綵,covai,3~~...綵
鮰,haorui,2/~...鮰
鳾,sheihi,5-|...鳾
虰,diowing,1|~.盯叮.町.虰
驎,leirin,2-|.林..臨驎
荬,meivai,3-|..荬.蕒
鑛,kauyuang,4/\...鑛
犏,paewian,1/-.篇.犏.
鞧,qeiwiu,1-|..楸.趥鞧鞦
鮋,yaorou,2/~.犹.鱿.鲉鮋
鰷,taoriao,2/~.条.鲦.鰷
鶲,wauweng,1/\.翁..鹟鶲
盕,fuyan,4\\.泛..盕
盩,zheiwou,1-|...盩輈輖
盻,piovan,3|~...闆盻
眖,kioyuang,4|~.旷眶.贶.眖
砛,jeawin,1-/...砛
硈,qeayia,4-/...硈
禢,tuoya,4\~...禢
禥,quori,2\~.祈祁.祺.祇禥
窼,kuwe,1\\..窠.窼
竏,quewian,1\-...竏
筈,kaeyuo,4/-...筈秳
筽,aeho,5/-...筽
篴,daeri,2/-.敌笛..篴
籆,yaeyue,4/-..钺.籆
籇,haerao,2/-...籇
紏,tovou,3~~...紏
肣,haoran,2/~...肣
胑,zhaowi,1/~.脂肢.胝.鴲胑
臮,jaiyi,4/|.伎.偈.臮
苲,zheiva,3-|...苲
蒃,zheiyuan,4-|.撰..蒃
虗,xiewu,1|-.虚..虛虗
蜌,bioyi,4|~..跸哔畀睥髀.閉閟蜌罼赑
跘,bioyan,4|~...跘
鞦,qeiwiu,1-|..楸.趥鞧鞦
驄,ceiwong,1-|.聪葱.枞苁.茐聦聰蔥驄聡
鷭,fauran,2/\...鐇鷭
鸼,daviao,3//...鸼
鹐,qaowian,1/~...鹐
矄,xiowun,1|~.勋.曛.矄
魖,xaiwu,1/|...魆魖
鴐,goawe,1~/...鴐
薀,weiwen,1-|...蕰藴薀
謏,xueviao,3\-...謏
脎,saoya,4/~..脎.
締,doyi,4~~.缔..締
聧,keiwui,1-|...聧
脜,yaovou,3/~...脜
艤,yavi,3//..舣.艤
荖,leivao,3-|.老.栳.荖
蕌,leivei,3-|.蕾..蕌
蠷,qioru,2|~..蠼氍.跼蠷
褏,yueyou,4\-...誘褏褎
觽,waorei,2/~...鮠觿觽
踫,pioran,2|~..蹒蟠.蹣踫
蹽,liowiao,1|~...蹽
軉,yaiyu,4/|...鴥轝礜譽軉
軛,eiye,4-|.恶扼.噩萼垩苊.蕚軛蘁
墚,leiriang,2-|..椋墚.
搌,zheivan,3-|..搌.醆
擗,peivi,3-|..圮擗.
哳,zhiowa,1|~..哳.蹅
鋻,jeiwian,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
楗,jeiyian,4-|.荐槛.楗.薦鍳趝
韂,cheiyan,4-|...韂
飆,beawiao,1-/..飙.飆
饏,doeyan,4~-.弹..饏
耥,tewang,1--..耥.
髼,peireng,2-|.彭蓬棚.堋.芃髼鬅
篼,daewou,1/-..篼.
鬑,leirian,2-|.联莲..連蓮聯鬑聫
醑,xeivu,3-|..栩醑.
鴧,yuyu,4\\.誉寓浴..鴪鴧
眜,mioyo,4|~.默墨..瞐眜
瞷,jioyian,4|~.见践贱.踺.見踐瞷
磦,peawiao,1-/...磦
礨,liovei,3|~...礨鸓蠝
祃,muoya,4\~...祃禡
祲,juoyin,4\~...祲
祻,guoyu,4\~.雇..顧祻
窊,wuwa,1\\.洼..窪窊
簥,jaewiao,1/-...簥
籲,yaeyu,4/-..毓钰.籲籞
縢,taoreng,2/~.腾.滕.縢騰謄
繌,shova,3~~...繌
繒,zoweng,1~~..缯.繒
聜,deivi,3-|.抵.柢.菧聜軧
胔,zieyi,4|-...眥胔
胾,zeiyi,4-|...胾
脨,jaori,2/~.及急..脨
膼,zhaowua,1/~...膼
艕,bayang,4//...艕
苼,sheiweng,1-|.声..聲苼
莻,neiheus,5-|...莻
蓨,teiriao,2-|..苕髫.蓚蓨
蓵,jeirie,2-|.节杰截捷劫桔.颉拮.蓵
蓾,leivu,3-|.掳.橹.蓾
藦,meiyo,4-|.莫.蓦茉.驀藦
虀,jeiwi,1-|.机基圾.芨赍墼.鄿虀鞿覊賷
蚈,qiowian,1|~..岍.蚈
蛡,yioyi,4|~.易邑屹.呓蜴峄.睪蛡鶍螠
蛻,tioyui,4|~.蜕..蛻
蝝,yiowuan,1|~...蝝蜎
蝹,iovao,3|~...蝹
蟿,jeiyi,4-|.技蓟.髻芰荠.繫蟿繋驥
衼,zhuowi,1\~.之.祗.衼禔禵
褦,nuoyai,4\~...褦
襶,duoyai,4\~...襶
覐,jioyiao,4|~.叫.峤噍.覐
詯,hueyui,4\-...譓詯諱
誴,cuerong,2\-...誴
諓,jueyian,4\-...諓
謧,lueri,2\-.离..離謧
謪,shuewang,1\-.商..謪
譁,wuera,2\-...譁
貤,yiori,2|~.遗.咦贻眙嶷.遺貤貽
赪,cheiweng,1-|.撑.柽.赪頳
踖,jiori,2|~..岌嵴戢.蹐踖蝍
軆,taiwi,1/|...軆
輈,zheiwou,1-|...盩輈輖
鄛,chorao,2~~.巢..鄛
鄡,qaiwiao,1/|..劁.鄡
醖,yeiyun,4-|.蕴酝..醖醞
屺,qiovi,3|~.岂.屺.豈
鍑,fauyu,4/\.父..鍑
鏉,shauyou,4/\.受..鏉
雊,gaoyou,4/~.够..雊
顓,zhiowuan,1|~..颛.顓耑
飐,zhaovan,3/~...飐
稆,lyaevu,3/-.铝.稆.
駳,deiyan,4-|..萏.駳髧
騽,xeiri,2-|.檄.觋.騽蓆薂
骍,xowing,1~~...骍
筻,gaeyang,4/-..筻.
魱,haoru,2/~.狐.斛猢.魱
舣,yavi,3//..舣.艤
鮾,naovei,3/~.馁..鮾鯘
鯋,shaowa,1/~...鯋
鯏,laori,2/~.狸.鲡.鯏鱺
鶃,yaiyi,4/|.亿.佚仡佾劓.鶃
鶫,deiwong,1-|...鶇鶫菄
齛,xieyie,4|-...韰齛
矙,kioyan,4|~..瞰.矙
絾,choreng,2~~...絾
袗,zhuoven,3\~.诊..袗
襬,buovai,3\~...襬
漤,luvan,3\\.懒.漤.
闕,qioyue,4|~...闕
鬐,qeiri,2-|.其棋.耆芪圻蕲綦萁.碁軙騎鬐
鲾,baowi,1/~..匕.鲾
鴾,mourou,2~\.牟.鍪.鴾鞪
稭,jaewie,1/-.秸..節稭
籄,kaeyui,4/-..篑.籄
聺,qeirie,2-|.茄..聺
褹,yuoyi,4\~.议译谊诣..袣褹
訟,sueyong,4\-...訟
鏕,aurao,2/\...鏕
齆,waiyeng,4/|...齆
盫,auwan,1/\...盦盫韽
矎,xiowuan,1|~.喧.暄.矎睻
礋,zeare,2-/...礋
窌,puyao,4\\.泡..窌
簼,gaewou,1/-.钩.篝.簼
糴,dauri,2/\..籴.糴
纴,royen,4~~.纫..纴絍紝
罵,mioya,4|~.骂.唛.罵駡
翚,houwui,1~\...翬翚
耰,yewou,1--...耰
艧,wayo,4//...艧
藇,yeivu,3-|.雨..藇蘌
虖,hiewu,1|-...虖
蚖,wioran,2|~...蚖貦
蜎,yiowuan,1|~...蝝蜎
蜨,diorie,2|~.蝶.喋蹀.蜨眣
蠭,paorang,2/~..逄.鳑鰟蠭
詟,zheare,2-/..磔.詟
詵,shuewen,1\-...詵
譔,queruan,2\-.痊..詮譔
豭,jeawia,1-/...豭
趙,zheiyao,4-|.赵.棹.趙
趬,qeiwiao,1-|.橇..趬
阢,woiyu,4~|..阢.
圊,qiowing,1|~..蜻圊.
醃,yeiwan,1-|.焉.菸鄢.醃
録,lauyu,4/\...錄録
鍮,tauwou,1/\...鍮
鍸,hauru,2/\...餬鍸
闚,kiowui,1|~.岿..闚
阤,yoivi,3~|...阤
霫,xeuri,2-\...霫
鞎,heiren,2-|...鞎
韗,yoiyun,4~|...韗
鬖,seiwan,1-|...鬖
鳠,haoyu,4/~..鹱.鱯鳠
鴼,laiyu,4/|...鴼
鷇,keiyou,4-|.扣.蔻.蔲鷇
黇,teiwian,1-|...黇
黡,yeavan,3-/..魇厣.黡黶
齣,chiewu,1|-...齣
盞,zheovan,3-~.斩..盞
眅,piowan,1|~...眅
磈,weavei,3-/...磈硊
磳,zeaweng,1-/...磳
穫,haeyu,4/-..笏.穫
窅,yuvao,3\\..窈.窅
窾,kuvuan,3\\...窾
筭,saeyuan,4/-.算..笇筭
箣,caeye,4/-.策..箣
簃,yaeri,2/-.移.迤.簃箷
簺,saeyai,4/-...簺
粴,luavi,3\/...粴
糦,xuawi,1\/.熄烯.羲粞.糦
絟,qoruan,2~~...絟
緺,gowua,1~~...緺
縩,coyai,4~~...縩
罍,liorei,2|~...罍
翣,shouya,4~\...翜翣
聟,xaeyu,4/-...聟稸
肊,yaovi,3/~...肊
肙,yioyuan,4|~...肙
肞,chaowa,1/~...肞
臞,qaoru,2/~..劬朐鸲.臒胊臞
苶,neiyie,4-|.聂孽.颞蘖.菍糵顳苶聶
菭,teirai,2-|.抬.薹.臺菭
葖,teiwu,1-|...葖
蕳,jeiwian,1-|..鞯菅蒹搛.鞬葌監鋻蕳葏虃
蚒,tiorong,2|~.同瞳..蚒眮
蜪,tiorao,2|~..啕.蜪
蝕,shauri,2/\.食..鉐蝕鉽
蠜,feiran,2-|.樊.蘩.蠜薠
袕,xuorue,2\~...袕
裋,shuoyu,4\~...裋
裩,kuowun,1\~...裈裩褌
褌,kuowun,1\~...裈裩褌
褎,yueyou,4\-...誘褏褎
襫,shuoyi,4\~.视试.谥.視襫
覈,heire,2-|.核荷菏.盍翮.鞨麧覈
觭,jaowi,1/~.几肌饥..觭
訆,jueyiao,4\-...訆
訏,xuevu,3\-...許訏
訽,gueyou,4\-...詬訽
詨,xueyiao,4\-.效..詨
譻,yiowing,1|~.婴.鹦嘤罂.譻
诇,xuoyiong,4\~...诇
貑,jauwia,1/\...貑
跱,zhioyi,4|~.置帜峙.蛭帙踬.跱
坶,meivu,3-|.拇.坶.
躘,liorong,2|~.咙..眬躘
輖,zheiwou,1-|...盩輈輖
轇,jeiwiao,1-|.教蕉椒.艽茭.萩轇驕
轋,heirun,2-|...轋
轕,geire,2-|.格革葛.鬲塥.騔轕
迒,huerang,2\-..颃.迒
郘,lyiovu,3|~.吕..郘
醄,teirao,2-|.桃萄..醄駣騊
醼,yeiyan,4-|.燕堰.酽.驗醼
鋋,chauran,2/\...鋋鑱
鏁,sauvuo,3/\...鎖鏁
鏭,xauwi,1/\.希悉.兮奚翕欷.錫豀鏭鑴翖
鐄,hauruang,2/\...鐄
鑣,bauwiao,1/\...鑣鏢
鑷,nauyie,4/\...鑷鋷
辁,qeoruan,2-~..辁.
阸,oiye,4~|...阨阸
牿,gaeyu,4/-..锢牿.
鞝,zheivang,3-|...鞝
頞,uye,4\\..愕.頞
瞵,liorin,2|~..嶙啉瞵.
饤,daoying,4/~..腚.饤
駃,keiyuai,4-|.块..駃
駉,jeiwiong,1-|...駉
騠,teiri,2-|.提.醍荑.趧騠蕛
驡,luerong,2\-..癃.龍驡礱蠪聾
髪,feiwa,1-|...髪
鬚,xeiwu,1-|.墟..鬚蕦
鬿,qairi,2/|...鬿
鮌,gaovun,3/~..鲧.鮌鯀
鯁,gaoveng,3/~..鲠.鯁
鱻,xaowian,1/~.鲜..鮮鱻
鶚,ioye,4|~.遏鄂.颚鹗.顎鶚
鷫,soeyu,4~-.肃..肅鷫粛
鹖,hiore,2|~..曷.鶡鹖
磩,qeayi,4-/.砌.碛.碶磜磩
磭,cheayuo,4-/...磭
稌,taeru,2/-...稌
穃,raeyong,4/-...穃
綂,tovong,3~~.统..統綂
膥,cewen,1--...膥
膱,zhaori,2/~...膱
臿,chaewa,1/-..锸.臿
艎,haruang,2//..徨.艎
苃,yeivou,3-|.酉.莠.苃
茍,jieyi,4|-.冀..茍
蒟,jeivu,3-|..榉莒.蒟
藣,beiwei,1-|.杯..藣
虈,xeiwiao,1-|.萧.枵.虈
蜐,jiorie,2|~.睫..蛣蜐
訅,queriu,2\-...訅
詭,guevui,3\-..庋.詭
讈,lueyi,4\-.立痢.疠疬.麜讈
貿,maoyao,4/~.贸..貿鄮
趷,kiowe,1|~.颗.瞌蝌嗑髁.顆趷
蹌,qiowiang,1|~.呛.跄蜣.蹌蹡
蹹,tiora,2|~...蹹
鈰,shauyi,4/\.释.弑.釋鉃鈰飾
銑,xauvi,3/\...銑
鋫,laeri,2/-.黎梨篱犁.黧.鋫邌鯬筣籬
鍔,auye,4/\...鍔餓
鐨,fauyei,4/\...鐨
餉,xauviang,3/\...餉饟
騛,feiwei,1-|...騛
鯛,daowiao,1/~.雕.鲷.鵰鯛颩
鰤,shaowi,1/~.狮..鰤魳
鳳,faoyeng,4/~.凤..鳳
鵂,xaiwiu,1/|.修休.鸺.鵂
鶢,yauruan,2/\..爰.鈨鶢
鶳,shaiwi,1/|...鶳
黋,kiuyuang,4|\...黋
齢,liering,2|-.龄..齡齢
磚,zheawuan,1-/.砖..磚
緲,moviao,3~~..缈.緲
繳,joviao,3~~.缴绞..繳絞
聝,geiruo,2-|..掴.聝
膴,waovu,3/~...膴
芵,jeirue,2-|.掘抉攫.蕨橛桷.蕝芵
藫,teiran,2-|.坛檀.覃.醰藫蕁
覓,mauyi,4/\.觅..覓
誕,dueyan,4\-...誕
誡,jueyie,4\-.疥..誡
貎,nauri,2/\...貎
賄,hioyui,4|~.贿晦.喙蟪.翙賄
跰,bioyeng,4|~.蹦..跰
踥,qioyie,4|~...踥
迆,toiruo,2~|.陀..陁迆
逕,jeoying,4-~...逕
逤,suyuo,4\\...逤
鏢,bauwiao,1/\...鑣鏢
鏤,lauyou,4/\...鏤
鑄,zhauyu,4/\...鑄
鑽,zauyuan,4/\...鑽
頷,hauyan,4/\..颔.頷鋎銲
鴉,yeowa,1-~.鸦..鴉
鴰,gaewua,1/-.刮.鸹.鴰
麅,puerao,2\-..庖.麅
礱,luerong,2\-..癃.龍驡礱蠪聾
祿,luoyu,4\~.禄..祿
缷,xaeyie,4/-.卸..缷
虙,fieru,2|-...虙
齗,yievan,3|-...龂齗
裓,guore,2\~...裓
铹,laerao,2/-..铹.
睙,lioyie,4|~..躐.蛚睙
矟,shouyuo,4~\...矟
硣,xeawiao,1-/.硝..硣
磹,deayian,4-/...磹
礀,jeayian,4-/...礀
禮,luovi,3\~.礼..裡禮
秶,zuewi,1\-.资姿咨.粢.資秶諮
窇,burao,2\\...窇
竷,kuevan,3\-...竷
笣,baewao,1/-...笣
篃,maeyei,4/-...篃
簬,laeyu,4/-..簏.箓簬稑籙
簯,qaevi,3/-.乞..簯
粓,guawan,1\/...粓
粶,luayu,4\/...粶
紋,woren,2~~.纹..紋
紓,showu,1~~.书.纾.紓綀
絞,joviao,3~~.缴绞..繳絞
緹,tori,2~~..缇绨.綈緹
縷,lyovu,3~~.缕..絽縷
縼,xoyuan,4~~.绚..絃縼
繆,moyiao,4~~..缪.繆
繕,shoyan,4~~.缮.骟.繕
繚,loriao,2~~..缭.繚
繞,royao,4~~.绕..繞
绤,xoyi,4~~.细..細绤
罆,gaeyuan,4/-.罐..罆
羈,jiowi,1|~.畸.叽羁唧跻咭.踦羇羈
翆,couyui,4~\.翠..翆
翑,youyu,4~\.预豫.鹬.預遹矞翑
聵,keiyui,4-|..匮聩蒉.聭聵
脵,gaovu,3/~.股.臌.馉脵
臄,jaowu,1/~.狙..鮈臄
茽,zheiyong,4-|...茽
莊,zheiwuang,1-|.桩..莊荘
莢,jeiria,2-|.荚..莢
莵,teiyu,4-|..堍.莵
菕,leirun,2-|...輪菕
蓛,ceiye,4-|...萗蓛
蓷,teiwui,1-|.推..藬蓷
蓸,ceirao,2-|.曹槽..蓸
蔘,sheiwen,1-|..莘.蓡蔘葠
蔞,leirou,2-|.楼.蒌.蔞鞻
蕘,yeirao,2-|.摇..蕘
蕼,seiyi,4-|.寺肆..蕼
薔,qeiriang,2-|.墙蔷.樯.薔
藖,qeiwian,1-|.扦.芊.遷藖韆
藢,zheivi,3-|.指址.酯芷枳.茝藢
藶,leiyi,4-|.丽莉吏栗荔.栎莅郦枥苈坜.麗隸蒞苙藶赲
蛢,pioring,2|~...蛢
蟯,niorao,2|~..呶蛲.蟯
蠄,qiorin,2|~..噙嗪螓.蠄
蠈,ziorei,2|~.贼..蠈賊
蠎,miovang,3|~..蟒.蠎
蠣,lioyi,4|~..蛎詈跞唳呖.蠣
襪,wuoya,4\~.袜..襪
覙,zhaoven,3/~...覙
訑,yueri,2\-..痍.讉訑詒
訣,juerue,2\-.决..訣
詰,juerie,2\-.竭..詰
詸,mueri,2\-.靡糜.麋縻.詸
誰,shuerui,2\-...誰
諏,zhuewou,1\-...諏譸
諛,yueru,2\-...諛
諮,zuewi,1\-.资姿咨.粢.資秶諮
諱,hueyui,4\-...譓詯諱
謥,cueyong,4\-...謥
謨,muero,2\-.摩魔磨..謨
譫,zhuewan,1\-..旃.鹯邅譫鸇詀
貋,auyan,4/\...貋
貛,hauwuan,1/\...貛
貫,goyuan,4~~.贯..貫
賓,buwin,1\\.宾滨濒..賓
賞,shiuvang,3|\.赏..賞
贁,bioyai,4|~.败..贁
贂,chioven,3|~...贂踸
贉,dioyan,4|~.旦.啖.贉
趤,deiyang,4-|.荡档.菪.趤
趯,yeiyue,4-|.越.樾.趯軏
趶,wiowu,1|~.呜..趶螐
跔,jiowu,1|~..雎.踘跔罝
踴,yiovong,3|~.咏踊蛹..踴
蹆,tiovui,3|~...蹆
塥,geire,2-|.格革葛.鬲塥.騔轕
輝,hiuwui,1|\.辉..輝
輰,yeirang,2-|.杨扬..輰
輿,yairu,2/|.舆.臾舁.輿
轂,geiwu,1-|.辜菇.鸪毂菰酤.蓇鴣苽轂
邁,meiyai,4-|.卖..麥賣邁
邼,kewuang,1--.匡..邼
釟,bauwa,1/\.八..釟
釠,lauyuan,4/\...釠
釣,dauyiao,4/\...釣
鈉,nauya,4/\...鈉
鈴,lauring,2/\..翎瓴.鸰鈴鴒
鈺,yauyu,4/\.欲愈.鹆.鋊鈺鐍錥
鉂,shauvi,3/\...鉂
銊,hauyui,4/\.会..銊鐬鏸
銘,mauring,2/\...銘
鋤,chauru,2/\...鉏鋤
鋭,dauyui,4/\...鐓錞鋭
錃,puwi,1\\...錃
錈,jauvuan,3/\...錈
漭,muvang,3\\..漭.
錨,maurao,2/\...錨
鍤,chauwa,1/\...鍤
鏆,gauyuan,4/\...鏆鑵
鐖,jauwi,1/\...谿雞飢鐖
鐧,jauwian,1/\...鐧銒
鐳,laurei,2/\...鐳鑘
鑱,chauran,2/\...鋋鑱
鑾,lueruan,2\-.挛峦孪.鸾銮栾脔娈.鑾
镃,zaewi,1/-..锱.镃
閬,liorang,2|~..螂.閬
閾,yioyu,4|~.遇吁喻峪.昱蜮.閾
閿,wioren,2|~.蚊..聞闅閺閿
陜,xoiria,2~|...陜
陝,shoivan,3~|.陕..陝
霠,yeuwin,1-\...霠
鞏,geivong,3-|.巩拱汞..鞏
鞖,seiwui,1-|..荽.鞖
韨,feru,2--...韨
韼,puereng,2\-...韼
韽,auwan,1/\...盦盫韽
頒,bauwan,1/\.颁..頒
頤,yeiri,2-|.颐.圯.頤
顛,deiwian,1-|.颠掂..顛
飳,tauvou,3/\...飳
飸,tiowao,1|~..饕.飸
餆,yaurao,2/\.遥.肴爻繇.飖餆餚颻
館,gauvuan,3/\...館錧
饅,mauran,2/\...饅
駐,zheiyu,4-|.著柱.杼苎翥.苧駐
駡,mioya,4|~.骂.唛.罵駡
駷,seivong,3-|...駷
騁,cheiveng,3-|...騁
騫,quwian,1\\..骞悭褰搴.騫
騷,seiwao,1-|.搔..騷
騼,leiyu,4-|.麓..蕗菉騼騄醁
髕,bioyin,4|~..髌.髕
魜,raoren,2/~...魜
鰫,yaorong,2/~...鰫
鱗,laorin,2/~.鳞..鱗魿
鱽,daowao,1/~...鱽魛
鲬,yaovong,3/~...鯒鲬
鴻,hurong,2\\.洪宏鸿.泓黉.鴻
鶆,leirai,2-|.莱..萊鶆
鶊,gueweng,1\-.庚.赓.鶊鹒賡
鷳,xiorian,2|~...鷳蚿鷼閑鷴
鷿,poeyi,4~-.屁譬.甓.鷿
鸁,lueruo,2\-...驘鸁
麞,zhuewang,1\-.章彰.鄣.麞
鼏,muoyi,4\~.幂.谧.鼏
鼜,qeiyi,4-|..槭葺.鼜
鼫,shairi,2/|...鼫
齦,yierin,2|-...齦
盬,geivu,3-|.古鼓贾.嘏瞽.盬糓
祅,yuowao,1\~...祅
禡,muoya,4\~...祃禡
禭,suoyui,4\~..谇.禭
糱,noiyie,4~|..陧.糱蠥
縂,zovong,3~~...總縂
蠥,noiyie,4~|..陧.糱蠥
軷,beira,2-|.拔.菝茇.軷
鄮,maoyao,4/~.贸..貿鄮
釱,dauyi,4/\...釱
銦,yauwin,1/\...銦
錣,zhauyui,4/\...錣餟
鑢,lyauyu,4/\...鑢
钑,xaeyi,4/-...钑
饟,xauviang,3/\...餉饟
鯅,shaowan,1/~.删.膻.鯅
鼊,boeyi,4~-.避壁臂辟.璧弼嬖襞.鸊躄鼊繴
簫,xaewiao,1/-.销.箫.箾簫簘
粛,soeyu,4~-.肃..肅鷫粛
粻,zhuawang,1\/...粻
饈,xauwiu,1/\..貅.饈銝
盌,waovan,3/~..脘.盌
